,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
0,2010-01-01 12:02:00,2010-01-01 12:18:00,B1.9,POINT(441.246 -434.9622),"POLYGON((17.11086 69.4824,17.11086 69.4824,17.11086 69.4824,17.11086 69.4824,17.11086 69.4824))",POINT(0.6454048880805 225.410894405118),"POLYGON((0.07454 346.165518,0.07454 346.165518,0.07454 346.165518,0.07454 346.165518,0.07454 346.165518))",POINT(57.283253 -29),,UTC-HGS-TOPO,POINT(31 -29),,2010-01-01 12:09:00,true,,1039,32.0,-28.0,30.0,-30.0,-434.9622,441.246,-29.0,31.0,619.588692557280297,0.0
1,2010-01-01 12:02:00,2010-01-01 12:18:00,B1.9,POINT(0 52.37256),"POLYGON((0.000085 -974.106,-0.000085 -974.106,0 973.614,0 973.614,0.000085 -974.106))",POINT(0.053701493679611 0),"POLYGON((0.998824 180.000005,0.998824 179.999995,0.998319 0,0.998319 0,0.998824 180.000005))",POINT(26.283255 0),"POLYGON((-63.616747 -89.9,116.183253 -89.9,116.183253 89.9,-63.616747 89.9,-63.616747 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-01-01 12:09:00,true,,0,90.0,90.0,-90.0,-90.0,52.37256,0.0,0.0,0.0,52.37256,90.0
2,2010-01-01 12:33:00,2010-01-01 13:00:00,B2.3,POINT(441.246 -434.9292),"POLYGON((17.11086 69.5256,17.11086 69.5256,17.11086 69.5256,17.11086 69.5256,17.11086 69.5256))",POINT(0.645380756687961 225.413067739875),"POLYGON((0.074584 346.173784,0.074584 346.173784,0.074584 346.173784,0.074584 346.173784,0.074584 346.173784))",POINT(56.999723 -29),,UTC-HGS-TOPO,POINT(31 -29),,2010-01-01 12:43:00,true,,1039,32.0,-28.0,30.0,-30.0,-434.9292,441.246,-29.0,31.0,619.565526420442438,0.0
3,2010-01-01 12:33:00,2010-01-01 13:00:00,B2.3,POINT(0 52.4154),"POLYGON((0.000085 -974.106,-0.000085 -974.106,0 973.614,0 973.614,0.000085 -974.106))",POINT(0.053745409155299 0),"POLYGON((0.998823 180.000005,0.998823 179.999995,0.998319 0,0.998319 0,0.998823 180.000005))",POINT(25.999725 0),"POLYGON((-63.900277 -89.9,115.899723 -89.9,115.899723 89.9,-63.900277 89.9,-63.900277 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-01-01 12:43:00,true,,0,90.0,90.0,-90.0,-90.0,52.4154,0.0,0.0,0.0,52.4153999999999982,90.0
4,2010-01-01 23:29:00,2010-01-01 23:42:00,B1.1,POINT(0 53.32116),"POLYGON((0.000085 -974.064,-0.000085 -974.064,0 973.56,0 973.56,0.000085 -974.064))",POINT(0.054673942599782 0),"POLYGON((0.998776 180.000005,0.998776 179.999995,0.99826 0,0.99826 0,0.998776 180.000005))",POINT(19.999888 0),"POLYGON((-69.900113 -89.9,109.899887 -89.9,109.899887 89.9,-69.900113 89.9,-69.900113 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-01-01 23:33:00,true,,0,90.0,90.0,-90.0,-90.0,53.32116,0.0,0.0,0.0,53.321159999999999,90.0
5,2010-01-01 23:29:00,2010-01-01 23:42:00,B1.1,POINT(558.5622 -375.7314),"POLYGON((17.11092 70.4304,17.11092 70.4304,17.11092 70.4304,17.11092 70.4304,17.11092 70.4304))",POINT(0.701224914304538 236.072224102938),"POLYGON((0.075499 346.344669,0.075499 346.344669,0.075499 346.344669,0.075499 346.344669,0.075499 346.344669))",POINT(58.999887 -25),,UTC-HGS-TOPO,POINT(39 -25),,2010-01-01 23:33:00,true,,1039,40.0,-24.0,38.0,-26.0,-375.7314,558.5622,-25.0,39.0,673.175917732356197,0.0
6,2010-01-02 03:10:00,2010-01-02 03:19:00,B1.1,POINT(0 53.62548),"POLYGON((0.000085 -974.046,-0.000085 -974.046,0 973.542,0 973.542,0.000085 -974.046))",POINT(0.054985928650036 0),"POLYGON((0.998757 180.000005,0.998757 179.999995,0.99824 0,0.99824 0,0.998757 180.000005))",POINT(17.978613 0),"POLYGON((-71.921388 -89.9,107.878612 -89.9,107.878612 89.9,-71.921388 89.9,-71.921388 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-01-02 03:13:00,true,,11039,90.0,90.0,-90.0,-90.0,53.62548,0.0,0.0,0.0,53.6254800000000031,90.0
7,2010-01-02 03:10:00,2010-01-02 03:19:00,B1.1,POINT(553.9194 -391.2186),"POLYGON((17.11092 70.7346,17.11092 70.7346,17.11092 70.7346,17.11092 70.7346,17.11092 70.7346))",POINT(0.706399546822322 234.767451359943),"POLYGON((0.075807 346.40121,0.075807 346.40121,0.075807 346.40121,0.075807 346.40121,0.075807 346.40121))",POINT(56.978612 -26),,UTC-HGS-TOPO,POINT(39 -26),,2010-01-02 03:13:00,true,,1039,40.0,-25.0,38.0,-27.0,-391.2186,553.9194,-26.0,39.0,678.143564949428765,0.0
8,2010-01-02 07:09:00,2010-01-02 07:40:00,C1.0,POINT(515.103 -436.0848),"POLYGON((506.64 -443.466,518.4894 -443.9394,523.545 -428.6748,511.5798 -428.196,506.64 -443.466))",POINT(0.692029609914448 229.748838761947),"POLYGON((0.690391 228.804084,0.699895 229.429302,0.69382 230.689635,0.684057 230.070424,0.690391 228.804084))",POINT(52.792716 -29),"POLYGON((52.292716 -29.5,53.292716 -29.5,53.292716 -28.5,52.292716 -28.5,52.292716 -29.5))",UTC-HGS-TOPO,POINT(37 -29),"POLYGON((36.5 -29.5,37.5 -29.5,37.5 -28.5,36.5 -28.5,36.5 -29.5))",2010-01-02 07:24:00,true,,11039,37.5,-28.5,36.5,-29.5,-436.0848,515.103,-29.0,37.0,674.908181458811555,1.0
9,2010-01-02 07:09:00,2010-01-02 07:40:00,C1.0,POINT(577.3998 -392.0316),"POLYGON((17.11098 71.0634,17.11098 71.0634,17.11098 71.0634,17.11098 71.0634,17.11098 71.0634))",POINT(0.726990282099822 235.825048282866),"POLYGON((0.07614 346.461763,0.07614 346.461763,0.07614 346.461763,0.07614 346.461763,0.07614 346.461763))",POINT(56.792715 -26),,UTC-HGS-TOPO,POINT(41 -26),,2010-01-02 07:24:00,true,,0,42.0,-25.0,40.0,-27.0,-392.0316,577.3998,-26.0,41.0,697.910670815828666,0.0
