,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
45,84,2012-01-14 13:14:00,2012-01-14 13:20:00,M1.4,POINT(-945.52122 237.738114),"POLYGON((17.093906 92.846394,17.093906 92.846394,17.093906 92.846394,17.093906 92.846394,17.093906 92.846394))",POINT(0.999958863502924 75.886343493876),"POLYGON((0.096828 349.568122,0.096828 349.568122,0.096828 349.568122,0.096828 349.568122,0.096828 349.568122))",POINT(-148.70338 14),"POLYGON((-59.70338 1,-59.70338 1,-59.70338 1,-59.70338 1,-59.70338 1))",UTC-HGS-TOPO,POINT(-88 14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-14 13:18:00,True,,1401,-87.0,15.0,-89.0,13.0,237.738114,-945.52122,14.0,-88.0,974.9511722740608,0.0
61,112,2012-01-17 04:41:00,2012-01-17 05:07:00,M1.0,POINT(-742.338 346.8684),"POLYGON((17.09082 97.3242,17.09082 97.3242,17.09082 97.3242,17.09082 97.3242,17.09082 97.3242))",POINT(0.840546181015421 64.9549722098376),"POLYGON((0.101366 350.040008,0.101366 350.040008,0.101366 350.040008,0.101366 350.040008,0.101366 350.040008))",POINT(-148.51514 18),"POLYGON((-94.51514 1,-94.51514 1,-94.51514 1,-94.51514 1,-94.51514 1))",UTC-HGS-TOPO,POINT(-53 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-17 04:53:00,True,,1401,-52.0,19.0,-54.0,17.0,346.8684,-742.338,18.0,-53.0,819.3798833035626,0.0
65,121,2012-01-18 19:04:00,2012-01-18 19:27:00,M1.7,POINT(-495.78 352.2036),"POLYGON((17.08866 99.945,17.08866 99.945,17.08866 99.945,17.08866 99.945,17.08866 99.945))",POINT(0.623936004152269 54.6098995202979),"POLYGON((0.104028 350.297355,0.104028 350.297355,0.104028 350.297355,0.104028 350.297355,0.104028 350.297355))",POINT(-148.57359 17),"POLYGON((-115.57359 1,-115.57359 1,-115.57359 1,-115.57359 1,-115.57359 1))",UTC-HGS-TOPO,POINT(-32 17),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-18 19:12:00,True,,1401,-31.0,18.0,-33.0,16.0,352.2036,-495.78,17.0,-32.0,608.1489819550469,0.0
70,129,2012-01-19 13:43:00,2012-01-19 16:30:00,M2.6,POINT(-376.500804 579.823758),"POLYGON((17.087563 101.193654,17.087563 101.193654,17.087563 101.193654,17.087563 101.193654,17.087563 101.193654))",POINT(0.70933022480354 32.9971400174101),"POLYGON((0.105297 350.415448,0.105297 350.415448,0.105297 350.415448,0.105297 350.415448,0.105297 350.415448))",POINT(-153.80551 32),"POLYGON((-125.80551 1,-125.80551 1,-125.80551 1,-125.80551 1,-125.80551 1))",UTC-HGS-TOPO,POINT(-27 32),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-19 15:30:00,True,,1402,-26.0,33.0,-28.0,31.0,579.823758,-376.500804,32.0,-27.0,691.3381558643273,0.0
71,131,2012-01-19 13:44:00,2012-01-19 17:50:00,M3.2,POINT(-376.50078 579.824514),"POLYGON((17.087561 101.194764,17.087561 101.194764,17.087561 101.194764,17.087561 101.194764,17.087561 101.194764))",POINT(0.709330905617455 32.9971042276478),"POLYGON((0.105298 350.415552,0.105298 350.415552,0.105298 350.415552,0.105298 350.415552,0.105298 350.415552))",POINT(-153.81465 32),"POLYGON((-125.81465 1,-125.81465 1,-125.81465 1,-125.81465 1,-125.81465 1))",UTC-HGS-TOPO,POINT(-27 32),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-19 16:05:00,True,,1402,-26.0,33.0,-28.0,31.0,579.824514,-376.50078,32.0,-27.0,691.3387768496316,0.0
84,152,2012-01-23 03:38:00,2012-01-23 03:59:00,M8.7,POINT(293.8488 600.426),"POLYGON((17.08194 106.728,17.08194 106.728,17.08194 106.728,17.08194 106.728,17.08194 106.728))",POINT(0.686095323164177 333.922849794317),"POLYGON((0.110935 350.906865,0.110935 350.906865,0.110935 350.906865,0.110935 350.906865,0.110935 350.906865))",POINT(-152.9409 33),"POLYGON((-172.9409 1,-172.9409 1,-172.9409 1,-172.9409 1,-172.9409 1))",UTC-HGS-TOPO,POINT(21 33),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-23 03:59:00,True,,1402,22.0,34.0,20.0,32.0,600.426,293.8488,33.0,21.0,668.4747554974981,0.0
96,183,2012-02-06 19:31:00,2012-02-06 20:17:00,M1.0,POINT(813.44658 363.228162),"POLYGON((17.049846 125.256426,17.049846 125.256426,17.049846 125.256426,17.049846 125.256426,17.049846 125.256426))",POINT(0.916043707682964 294.062186772892),"POLYGON((0.129985 352.248565,0.129985 352.248565,0.129985 352.248565,0.129985 352.248565,0.129985 352.248565))",POINT(55.01635 19),"POLYGON((-5.98365 1,-5.98365 1,-5.98365 1,-5.98365 1,-5.98365 1))",UTC-HGS-TOPO,POINT(62 19),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-02-06 20:00:00,True,,1410,63.0,20.0,61.0,18.0,363.228162,813.44658,19.0,62.0,890.8591561990002,0.0
127,241,2012-03-02 17:29:00,2012-03-02 18:07:00,M3.3,POINT(-918.84756 302.647722),"POLYGON((16.95992 139.232328,16.95992 139.232328,16.95992 139.232328,16.95992 139.232328,16.95992 139.232328))",POINT(0.999995712534113 71.7692794290823),"POLYGON((0.144986 353.055003,0.144986 353.055003,0.144986 353.055003,0.144986 353.055003,0.144986 353.055003))",POINT(-62.09875 18),"POLYGON((25.90125 1,25.90125 1,25.90125 1,25.90125 1,25.90125 1))",UTC-HGS-TOPO,POINT(-87 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-03-02 17:46:00,True,,1427,-86.0,19.0,-88.0,17.0,302.647722,-918.84756,18.0,-87.0,967.4070922573096,0.0
139,264,2012-03-04 10:29:00,2012-03-04 12:16:00,M2.0,POINT(-843.9117 314.513664),"POLYGON((16.952754 139.335294,16.952754 139.335294,16.952754 139.335294,16.952754 139.335294,16.952754 139.335294))",POINT(0.931344286129555 69.5603043214797),"POLYGON((0.145152 353.062989,0.145152 353.062989,0.145152 353.062989,0.145152 353.062989,0.145152 353.062989))",POINT(-62.604192 16),"POLYGON((3.395808 1,3.395808 1,3.395808 1,3.395808 1,3.395808 1))",UTC-HGS-TOPO,POINT(-65 16),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-03-04 10:52:00,True,,1429,-64.0,17.0,-66.0,15.0,314.513664,-843.9117,16.0,-65.0,900.6141250500098,0.0
153,291,2012-03-05 19:10:00,2012-03-05 19:21:00,M2.1,POINT(-659.04 348.2868),"POLYGON((16.94694 139.338,16.94694 139.338,16.94694 139.338,16.94694 139.338,16.94694 139.338))",POINT(0.771109253991461 62.1446246881556),"POLYGON((0.145204 353.065478,0.145204 353.065478,0.145204 353.065478,0.145204 353.065478,0.145204 353.065478))",POINT(-60.54554 16),"POLYGON((-14.54554 1,-14.54554 1,-14.54554 1,-14.54554 1,-14.54554 1))",UTC-HGS-TOPO,POINT(-45 16),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-03-05 19:16:00,True,,1429,-44.0,17.0,-46.0,15.0,348.2868,-659.04,16.0,-45.0,745.4109045715926,0.0
