,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
92,175,2012-01-27 17:37:00,2012-01-27 18:56:00,X1.7,POINT(813.702 534.8772),"POLYGON((17.0736 113.262,17.0736 113.262,17.0736 113.262,17.0736 113.262,17.0736 113.262))",POINT(0.999908475980285 303.318436653966),"POLYGON((0.117618 351.427533,0.117618 351.427533,0.117618 351.427533,0.117618 351.427533,0.117618 351.427533))",POINT(-149.27804 33),"POLYGON((126.72196 1,126.72196 1,126.72196 1,126.72196 1,126.72196 1))",UTC-HGS-TOPO,POINT(85 33),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-01-27 18:37:00,True,,1402,86.0,34.0,84.0,32.0,534.8772,813.702,33,85,973.7579595997354,0
143,271,2012-03-05 02:30:00,2012-03-05 04:43:00,X1.1,POINT(-776.9211 374.18562),"POLYGON((16.949911 139.345464,16.949911 139.345464,16.949911 139.345464,16.949911 139.345464,16.949911 139.345464))",POINT(0.891907692615822 64.2833115499643),"POLYGON((0.145187 353.064642,0.145187 353.064642,0.145187 353.064642,0.145187 353.064642,0.145187 353.064642))",POINT(-64.39634 19),"POLYGON((-5.39634 1,-5.39634 1,-5.39634 1,-5.39634 1,-5.39634 1))",UTC-HGS-TOPO,POINT(-58 19),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-03-05 04:05:00,True,,1429,-57.0,20.0,-59.0,18.0,374.18562,-776.9211,19,-58,862.3347806043743,0
178,343,2012-03-07 00:02:00,2012-03-07 00:40:00,X5.4,POINT(-475.0764 397.083),"POLYGON((16.94166 139.2822,16.94166 139.2822,16.94166 139.2822,16.94166 139.2822,16.94166 139.2822))",POINT(0.64071416613757 50.1101180833992),"POLYGON((0.145191 353.064868,0.145191 353.064868,0.145191 353.064868,0.145191 353.064868,0.145191 353.064868))",POINT(-62.39254 18),"POLYGON((-30.39254 1,-30.39254 1,-30.39254 1,-30.39254 1,-30.39254 1))",UTC-HGS-TOPO,POINT(-31 18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-03-07 00:24:00,True,,1429,-30.0,19.0,-32.0,17.0,397.083,-475.0764,18,-31,619.170812236785,0
179,345,2012-03-07 01:05:00,2012-03-07 01:23:00,X1.3,POINT(-410.7888 355.3602),"POLYGON((16.94148 139.2792,16.94148 139.2792,16.94148 139.2792,16.94148 139.2792,16.94148 139.2792))",POINT(0.562070250792696 49.1379696734366),"POLYGON((0.145189 353.064793,0.145189 353.064793,0.145189 353.064793,0.145189 353.064793,0.145189 353.064793))",POINT(-57.96898 15),"POLYGON((-30.96898 1,-30.96898 1,-30.96898 1,-30.96898 1,-30.96898 1))",UTC-HGS-TOPO,POINT(-26 15),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-03-07 01:14:00,True,,1429,-25.0,16.0,-27.0,14.0,355.3602,-410.7888,15,-26,543.1650853557139,0
700,1475,2012-07-12 15:37:00,2012-07-12 17:30:00,X1.4,POINT(48.3166854 -278.88387),"POLYGON((16.536746 -51.631608,16.536746 -51.631608,16.536746 -51.631608,16.536746 -51.631608,16.536746 -51.631608))",POINT(0.300037125552454 189.828939473196),"POLYGON((0.057471 197.759399,0.057471 197.759399,0.057471 197.759399,0.057471 197.759399,0.057471 197.759399))",POINT(84.609097 -13),"POLYGON((82.609097 1,82.609097 1,82.609097 1,82.609097 1,82.609097 1))",UTC-HGS-TOPO,POINT(3 -13),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2012-07-12 16:49:00,True,,1520,4.0,-12.0,2.0,-14.0,-278.88387,48.3166854,-13,3,283.03836318460344,0
48,97,2014-01-07 18:04:00,2014-01-07 18:58:00,X1.2,POINT(133.372986 -140.85177),"POLYGON((17.097428 81.475002,17.097428 81.475002,17.097428 81.475002,17.097428 81.475002,17.097428 81.475002))",POINT(0.19891404521304 223.437790320448),"POLYGON((0.085368 348.14852,0.085368 348.14852,0.085368 348.14852,0.085368 348.14852,0.085368 348.14852))",POINT(108.52382 -12),"POLYGON((101.52382 1,101.52382 1,101.52382 1,101.52382 1,101.52382 1))",UTC-HGS-TOPO,POINT(8 -12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-01-07 18:32:00,True,,1944,9.0,-11.0,7.0,-13.0,-140.85177,133.372986,-12,8,193.97828359558477,0
576,1226,2014-03-29 17:35:00,2014-03-29 17:54:00,X1.0,POINT(503.0886 259.8048),"POLYGON((16.83612 128.7858,16.83612 128.7858,16.83612 128.7858,16.83612 128.7858,16.83612 128.7858))",POINT(0.589573677439035 297.312715712645),"POLYGON((0.13524 352.551982,0.13524 352.551982,0.13524 352.551982,0.13524 352.551982,0.13524 352.551982))",POINT(145.82676 10),"POLYGON((114.82676 1,114.82676 1,114.82676 1,114.82676 1,114.82676 1))",UTC-HGS-TOPO,POINT(32 10),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-03-29 17:48:00,True,,2017,33.0,11.0,31.0,9.0,259.8048,503.0886,10,32,566.2125692290838,0
727,1713,2014-06-10 11:36:00,2014-06-10 11:44:00,X2.2,POINT(-882.738 -308.8284),"POLYGON((16.55916 9.1269,16.55916 9.1269,16.55916 9.1269,16.55916 9.1269,16.55916 9.1269))",POINT(0.990038951954306 109.282534600455),"POLYGON((0.020017 298.862203,0.020017 298.862203,0.020017 298.862203,0.020017 298.862203,0.020017 298.862203))",POINT(151.28153 -19),"POLYGON((-126.71847 1,-126.71847 1,-126.71847 1,-126.71847 1,-126.71847 1))",UTC-HGS-TOPO,POINT(-81 -19),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-06-10 11:42:00,True,,2087,-80.0,-18.0,-82.0,-20.0,-308.8284,-882.738,-19,-81,935.2012389269807,0
728,1715,2014-06-10 12:36:00,2014-06-10 13:03:00,X1.5,POINT(-887.562 -323.2092),"POLYGON((16.5591 9.04374,16.5591 9.04374,16.5591 9.04374,16.5591 9.04374,16.5591 9.04374))",POINT(0.999971746136376 110.009293797637),"POLYGON((0.019974 298.641127,0.019974 298.641127,0.019974 298.641127,0.019974 298.641127,0.019974 298.641127))",POINT(142.73004 -20),"POLYGON((-127.26996 1,-127.26996 1,-127.26996 1,-127.26996 1,-127.26996 1))",UTC-HGS-TOPO,POINT(-89 -20),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-06-10 12:52:00,True,,2087,-88.0,-19.0,-90.0,-21.0,-323.2092,-887.562,-20,-89,944.579531224682,0
738,1736,2014-06-11 08:59:00,2014-06-11 09:10:00,X1.0,POINT(-822.078 -295.9272),"POLYGON((16.55754 7.35096,16.55754 7.35096,16.55754 7.35096,16.55754 7.35096,16.55754 7.35096))",POINT(0.92504126790716 109.797588048813),"POLYGON((0.01918 293.939522,0.01918 293.939522,0.01918 293.939522,0.01918 293.939522,0.01918 293.939522))",POINT(154.48864 -18),"POLYGON((-138.51136 1,-138.51136 1,-138.51136 1,-138.51136 1,-138.51136 1))",UTC-HGS-TOPO,POINT(-66 -18),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-06-11 09:06:00,True,,2087,-65.0,-17.0,-67.0,-19.0,-295.9272,-822.078,-18,-66,873.7191458265293,0
1112,2478,2014-09-10 17:21:00,2014-09-10 17:45:00,X1.6,POINT(-81.860172 63.099606),"POLYGON((16.696244 -104.077908,16.696244 -104.077908,16.696244 -104.077908,16.696244 -104.077908,16.696244 -104.077908))",POINT(0.108520226960562 52.3741804952086),"POLYGON((0.110674 189.113774,0.110674 189.113774,0.110674 189.113774,0.110674 189.113774,0.110674 189.113774))",POINT(87.357869 11),"POLYGON((93.357869 1,93.357869 1,93.357869 1,93.357869 1,93.357869 1))",UTC-HGS-TOPO,POINT(-5 11),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-09-10 17:45:00,True,,2158,-4.0,12.0,-6.0,10.0,63.099606,-81.860172,11,-5,103.35689641830785,0
1241,2773,2014-10-19 04:17:00,2014-10-19 05:48:00,X1.1,POINT(-841.11 -272.0394),"POLYGON((16.87692 -77.0364,16.87692 -77.0364,16.87692 -77.0364,16.87692 -77.0364,16.87692 -77.0364))",POINT(0.918292977979299 107.922713655571),"POLYGON((0.081922 192.356978,0.081922 192.356978,0.081922 192.356978,0.081922 192.356978,0.081922 192.356978))",POINT(-119.1216 -14),"POLYGON((-54.1216 1,-54.1216 1,-54.1216 1,-54.1216 1,-54.1216 1))",UTC-HGS-TOPO,POINT(-64 -14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-10-19 05:01:00,True,,2192,-63.0,-13.0,-65.0,-15.0,-272.0394,-841.11,-14,-64,884.0087484026161,0
1276,2847,2014-10-22 14:02:00,2014-10-22 14:50:00,X1.6,POINT(-211.225932 -317.398068),"POLYGON((16.892862 -72.324678,16.892862 -72.324678,16.892862 -72.324678,16.892862 -72.324678,16.892862 -72.324678))",POINT(0.395672675885027 146.356545307255),"POLYGON((0.077079 193.146872,0.077079 193.146872,0.077079 193.146872,0.077079 193.146872,0.077079 193.146872))",POINT(-113.0477 -14),"POLYGON((-99.0477 1,-99.0477 1,-99.0477 1,-99.0477 1,-99.0477 1))",UTC-HGS-TOPO,POINT(-13 -14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-10-22 14:28:00,True,,2192,-12.0,-13.0,-14.0,-15.0,-317.398068,-211.225932,-14,-13,381.25834799962246,0
1292,2885,2014-10-24 21:07:00,2014-10-24 22:13:00,X3.1,POINT(321.619542 -435.40371),"POLYGON((16.903634 -68.962278,16.903634 -68.962278,16.903634 -68.962278,16.903634 -68.962278,16.903634 -68.962278))",POINT(0.56141882766994 216.452160165468),"POLYGON((0.073642 193.772474,0.073642 193.772474,0.073642 193.772474,0.073642 193.772474,0.073642 193.772474))",POINT(-109.3172 -22),"POLYGON((-129.3172 1,-129.3172 1,-129.3172 1,-129.3172 1,-129.3172 1))",UTC-HGS-TOPO,POINT(21 -22),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-10-24 21:40:00,True,,2192,22.0,-21.0,20.0,-23.0,-435.40371,321.619542,-22,21,541.3090803580279,0
1300,2903,2014-10-25 16:55:00,2014-10-25 17:08:00,X1.0,POINT(357.278478 -244.729446),"POLYGON((16.907507 -67.717854,16.907507 -67.717854,16.907507 -67.717854,16.907507 -67.717854,16.907507 -67.717854))",POINT(0.44904540724839 235.589545520232),"POLYGON((0.072373 194.018757,0.072373 194.018757,0.072373 194.018757,0.072373 194.018757,0.072373 194.018757))",POINT(-119.19739 -10),"POLYGON((-140.19739 1,-140.19739 1,-140.19739 1,-140.19739 1,-140.19739 1))",UTC-HGS-TOPO,POINT(22 -10),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-10-25 17:08:00,True,,2192,23.0,-9.0,21.0,-11.0,-244.729446,357.278478,-10,22,433.0593638076232,0
1306,2916,2014-10-26 10:04:00,2014-10-26 11:18:00,X2.0,POINT(565.24962 -297.93987),"POLYGON((16.91086 -66.624978,16.91086 -66.624978,16.91086 -66.624978,16.91086 -66.624978,16.91086 -66.624978))",POINT(0.66242060590292 242.206539658408),"POLYGON((0.071261 194.24214,0.071261 194.24214,0.071261 194.24214,0.071261 194.24214,0.071261 194.24214))",POINT(-113.62124 -14),"POLYGON((-149.62124 1,-149.62124 1,-149.62124 1,-149.62124 1,-149.62124 1))",UTC-HGS-TOPO,POINT(37 -14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2014-10-26 10:56:00,True,,2192,38.0,-13.0,36.0,-15.0,-297.93987,565.24962,-14,37,638.9642392542489,0
