Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
245,2016-03-04 08:28:00,2016-03-04 09:21:00,C1.1,POINT(880.81764 -103.1847),"POLYGON((16.952383 139.325202,16.952383 139.325202,16.952383 139.325202,16.952383 139.325202,16.952383 139.325202))",POINT(0.917121120668114 263.318453441713),"POLYGON((0.145145 353.062642,0.145145 353.062642,0.145145 353.062642,0.145145 353.062642,0.145145 353.062642))",POINT(-132.9275 -9),"POLYGON((161.0725 1,161.0725 1,161.0725 1,161.0725 1,161.0725 1))",UTC-HGS-TOPO,POINT(67 -9),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-04 09:00:00,True,,2506,68.0,-8.0,66.0,-10.0,-103.1847,880.81764,-9,67,886.8409086466745,0
246,2016-03-08 13:03:00,2016-03-08 13:08:00,C1.5,POINT(499.39764 121.587102),"POLYGON((16.93372 139.123764,16.93372 139.123764,16.93372 139.123764,16.93372 139.123764,16.93372 139.123764))",POINT(0.532118384829027 283.68343847034),"POLYGON((0.145095 353.060269,0.145095 353.060269,0.145095 353.060269,0.145095 353.060269,0.145095 353.060269))",POINT(135.85497 1),"POLYGON((105.85497 1,105.85497 1,105.85497 1,105.85497 1,105.85497 1))",UTC-HGS-TOPO,POINT(31 1),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-08 13:06:00,True,,0,32.0,2.0,30.0,0.0,121.587102,499.39764,1,31,513.9858229662838,0
248,2016-03-09 02:42:00,2016-03-09 03:11:00,C1.3,POINT(-961.9857 85.621242),"POLYGON((16.931171 139.045896,16.931171 139.045896,16.931171 139.045896,16.931171 139.045896,16.931171 139.045896))",POINT(1.00000985700938 84.9138091288543),"POLYGON((0.145036 353.057456,0.145036 353.057456,0.145036 353.057456,0.145036 353.057456,0.145036 353.057456))",POINT(8.360758 5),"POLYGON((98.360758 1,98.360758 1,98.360758 1,98.360758 1,98.360758 1))",UTC-HGS-TOPO,POINT(-89 5),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-09 02:57:00,True,,2519,-88.0,6.0,-90.0,4.0,85.621242,-961.9857,5,-89,965.7885296927648,0
250,2016-03-09 12:36:00,2016-03-09 13:06:00,C3.3,POINT(-957.9774 120.974028),"POLYGON((16.92932 138.981906,16.92932 138.981906,16.92932 138.981906,16.92932 138.981906,16.92932 138.981906))",POINT(0.99990849838893 82.8027469612547),"POLYGON((0.144986 353.055042,0.144986 353.055042,0.144986 353.055042,0.144986 353.055042,0.144986 353.055042))",POINT(3.925285 7),"POLYGON((92.925285 1,92.925285 1,92.925285 1,92.925285 1,92.925285 1))",UTC-HGS-TOPO,POINT(-88 7),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-09 12:50:00,True,,2519,-87.0,8.0,-89.0,6.0,120.974028,-957.9774,7,-88,965.5855292832968,0
252,2016-03-12 06:15:00,2016-03-12 06:23:00,C1.1,POINT(660.10392 269.025276),"POLYGON((16.917008 138.398514,16.917008 138.398514,16.917008 138.398514,16.917008 138.398514,16.917008 138.398514))",POINT(0.738692651446119 292.173346708352),"POLYGON((0.144489 353.031077,0.144489 353.031077,0.144489 353.031077,0.144489 353.031077,0.144489 353.031077))",POINT(99.878476 11),"POLYGON((56.878476 1,56.878476 1,56.878476 1,56.878476 1,56.878476 1))",UTC-HGS-TOPO,POINT(44 11),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-12 06:19:00,True,,2513,45.0,12.0,43.0,10.0,269.025276,660.10392,11,44,712.8196015305995,0
254,2016-03-15 09:23:00,2016-03-15 09:34:00,C1.2,POINT(187.905174 454.339338),"POLYGON((16.902812 137.394432,16.902812 137.394432,16.902812 137.394432,16.902812 137.394432,16.902812 137.394432))",POINT(0.509935088600407 337.531044014807),"POLYGON((0.143575 352.986485,0.143575 352.986485,0.143575 352.986485,0.143575 352.986485,0.143575 352.986485))",POINT(26.619054 21),"POLYGON((15.619054 1,15.619054 1,15.619054 1,15.619054 1,15.619054 1))",UTC-HGS-TOPO,POINT(12 21),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-15 09:29:00,True,,2521,13.0,22.0,11.0,20.0,454.339338,187.905174,21,12,491.6630843069759,0
256,2016-03-16 06:34:00,2016-03-16 06:57:00,C2.2,POINT(942.33576 202.95852),"POLYGON((16.898779 137.04708,16.898779 137.04708,16.898779 137.04708,16.898779 137.04708,16.898779 137.04708))",POINT(1.00000586167284 282.15458694443),"POLYGON((0.143251 352.970548,0.143251 352.970548,0.143251 352.970548,0.143251 352.970548,0.143251 352.970548))",POINT(90.9851203 12),"POLYGON((3.98512 1,3.98512 1,3.98512 1,3.98512 1,3.98512 1))",UTC-HGS-TOPO,POINT(88 12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-16 06:45:00,True,,2522,89.0,13.0,87.0,11.0,202.95852,942.33576,12,88,963.9444202937054,0
259,2016-03-20 00:40:00,2016-03-20 01:05:00,C1.2,POINT(873.0237 369.451644),"POLYGON((16.881394 135.257976,16.881394 135.257976,16.881394 135.257976,16.881394 135.257976,16.881394 135.257976))",POINT(0.984452770693438 292.937414223577),"POLYGON((0.141552 352.885767,0.141552 352.885767,0.141552 352.885767,0.141552 352.885767,0.141552 352.885767))",POINT(29.49624 21),"POLYGON((-45.50376 1,-45.50376 1,-45.50376 1,-45.50376 1,-45.50376 1))",UTC-HGS-TOPO,POINT(76 21),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-20 00:49:00,True,,2521,77.0,22.0,75.0,20.0,369.451644,873.0237,21,76,947.979376366381,0
260,2016-03-20 01:22:00,2016-03-20 01:38:00,C3.7,POINT(884.20866 338.424948),"POLYGON((16.881257 135.242112,16.881257 135.242112,16.881257 135.242112,16.881257 135.242112,16.881257 135.242112))",POINT(0.983195465791749 290.944012836288),"POLYGON((0.141537 352.884998,0.141537 352.884998,0.141537 352.884998,0.141537 352.884998,0.141537 352.884998))",POINT(29.11171 19),"POLYGON((-45.88829 1,-45.88829 1,-45.88829 1,-45.88829 1,-45.88829 1))",UTC-HGS-TOPO,POINT(76 19),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-20 01:33:00,True,,2521,77.0,20.0,75.0,18.0,338.424948,884.20866,19,76,946.7610046087651,0
262,2016-03-23 02:36:00,2016-03-23 04:45:00,C1.1,POINT(47.5144164 437.488926),"POLYGON((16.866778 133.418598,16.866778 133.418598,16.866778 133.418598,16.866778 133.418598,16.866778 133.418598))",POINT(0.457387598360902 353.801564902489),"POLYGON((0.139775 352.79489,0.139775 352.79489,0.139775 352.79489,0.139775 352.79489,0.139775 352.79489))",POINT(-84.12012 20),"POLYGON((-86.12012 1,-86.12012 1,-86.12012 1,-86.12012 1,-86.12012 1))",UTC-HGS-TOPO,POINT(3 20),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2016-03-23 03:51:00,True,,2524,4.0,21.0,2.0,19.0,437.488926,47.5144164,20,3,440.0615640322,0
