,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
0,0,2011-01-01 21:52:00,2011-01-01 22:06:00,B8.3,POINT(-701.688 513.3984),"POLYGON((-709.308 505.7916,-701.046 506.4834,-693.996 520.9608,-702.174 520.275,-709.308 505.7916))",POINT(0.891553682660905 53.8084862286262),"POLYGON((0.89332 54.508186,0.886851 54.153088,0.889834 53.105604,0.896136 53.463447,0.89332 54.508186))",POINT(-172.67797 30),"POLYGON((-173.17797 29.5,-172.17797 29.5,-172.17797 30.5,-173.17797 30.5,-173.17797 29.5))",UTC-HGS-TOPO,POINT(-56 30),"POLYGON((-56.5 29.5,-55.5 29.5,-55.5 30.5,-56.5 30.5,-56.5 29.5))",2011-01-01 21:59:00,True,,11140,-55.5,30.5,-56.5,29.5,513.3984,-701.688,30,-56,869.4503818312808,1
6,6,2011-01-26 22:02:00,2011-01-26 22:12:00,B3.2,POINT(934.35 174.5328),"POLYGON((17.0751 112.4982,17.0751 112.4982,17.0751 112.4982,17.0751 112.4982,17.0751 112.4982))",POINT(0.97595068464365 280.580681469323),"POLYGON((0.116832 351.369457,0.116832 351.369457,0.116832 351.369457,0.116832 351.369457,0.116832 351.369457))",POINT(-9.96859999999998 9),"POLYGON((-84.9686 1,-84.9686 1,-84.9686 1,-84.9686 1,-84.9686 1))",UTC-HGS-TOPO,POINT(76 9),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2011-01-26 22:09:00,True,,11149,1.0,1.0,1.0,1.0,174.5328,934.35,9,76,950.5112417935096,1
7,7,2011-01-28 16:09:00,2011-01-28 16:20:00,B2.4,POINT(-855.654 -316.6158),"POLYGON((-855.396 -325.3482,-850.044 -323.8824,-855.756 -307.8564,-861.15 -309.333,-855.396 -325.3482))",POINT(0.936979309912366 110.305876652886),"POLYGON((0.939881 110.824215,0.934209 110.857761,0.933994 109.786087,0.93972 109.758755,0.939881 110.824215))",POINT(-179.07365 -21),"POLYGON((-179.57365 -21.5,-178.57365 -21.5,-178.57365 -20.5,-179.57365 -20.5,-179.57365 -21.5))",UTC-HGS-TOPO,POINT(-70 -21),"POLYGON((-70.5 -21.5,-69.5 -21.5,-69.5 -20.5,-70.5 -20.5,-70.5 -21.5))",2011-01-28 16:14:00,True,,11150,-69.5,-20.5,-70.5,-21.5,-316.6158,-855.654,-21,-70,912.3537321267668,1
8,8,2011-01-28 17:52:00,2011-01-28 18:00:00,B6.2,POINT(-850.14 -315.111),"POLYGON((-850.032 -323.8446,-844.416 -322.3866,-850.098 -306.3498,-855.75 -307.8186,-850.032 -323.8446))",POINT(0.931140904009454 110.337616118769),"POLYGON((0.934192 110.855805,0.92827 110.896179,0.928011 109.81764,0.933984 109.783974,0.934192 110.855805))",POINT(-179.01541 -21),"POLYGON((-179.51541 -21.5,-178.51541 -21.5,-178.51541 -20.5,-179.51541 -20.5,-179.51541 -21.5))",UTC-HGS-TOPO,POINT(-69 -21),"POLYGON((-69.5 -21.5,-68.5 -21.5,-68.5 -20.5,-69.5 -20.5,-69.5 -21.5))",2011-01-28 17:57:00,True,,11150,-68.5,-20.5,-69.5,-21.5,-315.111,-850.14,-21,-69,906.6603343705954,1
9,9,2011-01-29 16:27:00,2011-01-29 16:36:00,B1.8,POINT(-746.556 -295.017),"POLYGON((-748.518 -303.7446,-739.47 -302.4468,-744.45 -286.2648,-753.552 -287.5728,-748.518 -303.7446))",POINT(0.824510346538749 111.562475997671),"POLYGON((0.829714 112.087051,0.820604 112.244799,0.81923 111.033346,0.828441 110.888006,0.829714 112.087051))",POINT(-177.40451 -21),"POLYGON((-177.90451 -21.5,-176.90451 -21.5,-176.90451 -20.5,-177.90451 -20.5,-177.90451 -21.5))",UTC-HGS-TOPO,POINT(-55 -21),"POLYGON((-55.5 -21.5,-54.5 -21.5,-54.5 -20.5,-55.5 -20.5,-55.5 -21.5))",2011-01-29 16:32:00,True,,11150,-54.5,-20.5,-55.5,-21.5,-295.017,-746.556,-21,-55,802.7333875110713,1
10,10,2011-02-04 19:30:00,2011-02-04 19:48:00,B6.9,POINT(16.31034 -182.1966),"POLYGON((8.13336 -190.5552,24.3975 -190.5858,24.52842 -173.832,8.17698 -173.8008,8.13336 -190.5552))",POINT(0.188053861702697 185.115513704767),"POLYGON((0.196076 182.44404,0.197528 187.294941,0.180476 188.031649,0.178871 182.693666,0.196076 182.44404))",POINT(157.92449 -17),"POLYGON((157.42449 -17.5,158.42449 -17.5,158.42449 -16.5,157.42449 -16.5,157.42449 -17.5))",UTC-HGS-TOPO,POINT(1 -17),"POLYGON((0.5 -17.5,1.5 -17.5,1.5 -16.5,0.5 -16.5,0.5 -17.5))",2011-02-04 19:39:00,True,,11152,1.5,-16.5,0.5,-17.5,-182.1966,16.31034,-17,1,182.92519848964383,1
11,11,2011-02-08 14:44:00,2011-02-08 14:52:00,B5.0,POINT(857.124 323.9718),"POLYGON((856.2 316.8552,862.506 315.138,857.898 331.0638,851.628 332.7738,856.2 316.8552))",POINT(0.942569619522414 290.705359639323),"POLYGON((0.939115 290.308076,0.944593 290.071032,0.945916 291.101657,0.940541 291.343082,0.939115 290.308076))",POINT(173.87322 17),"POLYGON((173.37322 16.5,174.37322 16.5,174.37322 17.5,173.37322 17.5,173.37322 16.5))",UTC-HGS-TOPO,POINT(67 17),"POLYGON((66.5 16.5,67.5 16.5,67.5 17.5,66.5 17.5,66.5 16.5))",2011-02-08 14:49:00,True,,11153,67.5,17.5,66.5,16.5,323.9718,857.124,17,67,916.3074148839132,1
33,33,2011-02-27 14:30:00,2011-02-27 14:49:00,B6.1,POINT(-705.66 486.2556),"POLYGON((-713.088 478.1754,-704.148 479.7516,-698.16 494.2884,-707.028 492.7242,-713.088 478.1754))",POINT(0.885011028869944 55.4300828404851),"POLYGON((0.886664 56.155382,0.879926 55.73253,0.883412 54.701992,0.889977 55.127557,0.886664 56.155382))",POINT(162.79366 26),"POLYGON((162.29366 25.5,163.29366 25.5,163.29366 26.5,162.29366 26.5,162.29366 25.5))",UTC-HGS-TOPO,POINT(-54 26),"POLYGON((-54.5 25.5,-53.5 25.5,-53.5 26.5,-54.5 26.5,-54.5 25.5))",2011-02-27 14:42:00,True,,11164,-53.5,26.5,-54.5,25.5,486.2556,-705.66,26,-54,856.9717288985441,1
34,34,2011-02-27 15:47:00,2011-02-27 15:59:00,B7.2,POINT(-694.41 446.703),"POLYGON((-701.844 438.4398,-692.034 439.9884,-686.904 454.9206,-696.642 453.3828,-701.844 438.4398))",POINT(0.852707460799562 57.2474624988539),"POLYGON((0.854623 58.007105,0.846904 57.552201,0.850855 56.484414,0.85839 56.943449,0.854623 58.007105))",POINT(165.08933 23),"POLYGON((164.58933 22.5,165.58933 22.5,165.58933 23.5,164.58933 23.5,164.58933 22.5))",UTC-HGS-TOPO,POINT(-51 23),"POLYGON((-51.5 22.5,-50.5 22.5,-50.5 23.5,-51.5 23.5,-51.5 22.5))",2011-02-27 15:53:00,True,,11164,-50.5,23.5,-51.5,22.5,446.703,-694.41,23,-51,825.6808210858478,1
82,82,2011-03-12 09:04:00,2011-03-12 09:09:00,B9.3,POINT(272.382 376.9374),"POLYGON((265.2564 369.4422,280.8378 368.835,279.4272 384.3954,263.9238 385.0002,265.2564 369.4422))",POINT(0.481825772090175 324.147421945566),"POLYGON((0.47121 324.32197,0.480303 322.713683,0.492366 323.985604,0.483613 325.568739,0.47121 324.32197))",POINT(65.503383 16),"POLYGON((65.003383 15.5,66.003383 15.5,66.003383 16.5,65.003383 16.5,65.003383 15.5))",UTC-HGS-TOPO,POINT(17 16),"POLYGON((16.5 15.5,17.5 15.5,17.5 16.5,16.5 16.5,16.5 15.5))",2011-03-12 09:07:00,True,,11169,17.5,16.5,16.5,15.5,376.9374,272.382,16,17,465.0524244026258,1
