,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
14,14,2011-02-09 01:23:00,2011-02-09 01:35:00,M1.9,POINT(885.18 315.3462),"POLYGON((885 308.2428,889.968 306.4626,885.216 322.4268,880.272 324.1986,885 308.2428))",POINT(0.966677196999427 289.608488658328),"POLYGON((0.964075 289.203071,0.968305 289.001269,0.969181 290.013403,0.965032 290.218433,0.964075 289.203071))",POINT(173.03045 17),"POLYGON((172.53045 16.5,173.53045 16.5,173.53045 17.5,172.53045 17.5,172.53045 16.5))",UTC-HGS-TOPO,POINT(72 17),"POLYGON((71.5 16.5,72.5 16.5,72.5 17.5,71.5 17.5,71.5 16.5))",2011-02-09 01:31:00,True,,11153,72.5,17.5,71.5,16.5,315.3462,885.18,17,72,939.6738041759171,1
15,15,2011-02-13 17:28:00,2011-02-13 17:47:00,M6.6,POINT(-63.9588 -223.8318),"POLYGON((-71.706 -232.1772,-55.79442 -232.0476,-56.15106 -215.4768,-72.1644 -215.607,-71.706 -232.1772))",POINT(0.239677936382264 164.052981314997),"POLYGON((0.250187 162.837131,0.245722 166.480223,0.229261 165.394134,0.23409 161.49443,0.250187 162.837131))",POINT(35.537921 -20),"POLYGON((35.037921 -20.5,36.037921 -20.5,36.037921 -19.5,35.037921 -19.5,35.037921 -20.5))",UTC-HGS-TOPO,POINT(-4 -20),"POLYGON((-4.5 -20.5,-3.5 -20.5,-3.5 -19.5,-4.5 -19.5,-4.5 -20.5))",2011-02-13 17:38:00,True,,11158,-3.5,-19.5,-4.5,-20.5,-223.8318,-63.9588,-20,-4,232.79046971188487,1
19,19,2011-02-14 17:20:00,2011-02-14 17:32:00,M2.2,POINT(168.1446 862.29),"POLYGON((165.7398 858.546,174.8862 858.18,170.4066 865.968,161.4942 866.328,165.7398 858.546))",POINT(0.904693922832523 348.965915820224),"POLYGON((0.900437 349.073625,0.901901 348.481569,0.908859 348.867483,0.907496 349.44056,0.900437 349.073625))",POINT(44.443398 56),"POLYGON((43.943398 55.5,44.943398 55.5,44.943398 56.5,43.943398 56.5,43.943398 55.5))",UTC-HGS-TOPO,POINT(18 56),"POLYGON((17.5 55.5,18.5 55.5,18.5 56.5,17.5 56.5,17.5 55.5))",2011-02-14 17:26:00,True,,11158,18.5,56.5,17.5,55.5,862.29,168.1446,56,18,878.5309616679197,1
25,25,2011-02-16 14:19:00,2011-02-16 14:29:00,M1.6,POINT(485.286 -237.8976),"POLYGON((476.9586 -245.619,490.4496 -246.6198,493.5822 -230.1678,480.0048 -229.1598,476.9586 -245.619))",POINT(0.556760551474596 243.884915958797),"POLYGON((0.552667 242.752926,0.565521 243.304723,0.561036 244.999367,0.547943 244.479655,0.552667 242.752926))",POINT(33.7625642 -20),"POLYGON((33.262564 -20.5,34.262564 -20.5,34.262564 -19.5,33.262564 -19.5,33.262564 -20.5))",UTC-HGS-TOPO,POINT(32 -20),"POLYGON((31.5 -20.5,32.5 -20.5,32.5 -19.5,31.5 -19.5,31.5 -20.5))",2011-02-16 14:25:00,True,,11158,32.5,-19.5,31.5,-20.5,-237.8976,485.286,-20,32,540.4607015146985,1
60,60,2011-03-07 07:49:00,2011-03-07 07:56:00,M1.5,POINT(889.308 -304.4136),"POLYGON((884.802 -311.3856,888.024 -313.3146,893.682 -297.4272,890.442 -295.485,884.802 -311.3856))",POINT(0.972600301596129 251.10372444239),"POLYGON((0.970561 250.61166,0.974369 250.566026,0.974576 251.59199,0.970761 251.642049,0.970561 250.61166))",POINT(-166.92622 -20),"POLYGON((-167.42622 -20.5,-166.42622 -20.5,-166.42622 -19.5,-167.42622 -19.5,-167.42622 -20.5))",UTC-HGS-TOPO,POINT(78 -20),"POLYGON((77.5 -20.5,78.5 -20.5,78.5 -19.5,77.5 -19.5,77.5 -20.5))",2011-03-07 07:54:00,True,,11165,78.5,-19.5,77.5,-20.5,-304.4136,889.308,-20,78,939.9661476505203,1
61,61,2011-03-07 07:59:00,2011-03-07 08:15:00,M1.4,POINT(642.276 481.8228),"POLYGON((639.624 475.2372,650.082 473.7912,644.79 488.3706,634.416 489.8058,639.624 475.2372))",POINT(0.830791889987119 306.876508413395),"POLYGON((0.824516 306.612151,0.832345 306.085224,0.836947 307.140664,0.829323 307.670214,0.824516 306.612151))",POINT(161.98229 25),"POLYGON((161.48229 24.5,162.48229 24.5,162.48229 25.5,161.48229 25.5,161.48229 24.5))",UTC-HGS-TOPO,POINT(47 25),"POLYGON((46.5 24.5,47.5 24.5,47.5 25.5,46.5 25.5,46.5 24.5))",2011-03-07 08:07:00,True,,11164,47.5,25.5,46.5,24.5,481.8228,642.276,25,47,802.9144853443858,1
62,62,2011-03-07 09:14:00,2011-03-07 09:28:00,M1.8,POINT(683.202 447.8886),"POLYGON((680.688 441.1902,690.69 439.6548,685.572 454.5516,675.642 456.0768,680.688 441.1902))",POINT(0.845301794744281 303.247755974344),"POLYGON((0.839338 302.949425,0.847187 302.47856,0.851144 303.545386,0.843482 304.020425,0.839338 302.949425))",POINT(164.29607 23),"POLYGON((163.79607 22.5,164.79607 22.5,164.79607 23.5,163.79607 23.5,163.79607 22.5))",UTC-HGS-TOPO,POINT(50 23),"POLYGON((49.5 22.5,50.5 22.5,50.5 23.5,49.5 23.5,49.5 22.5))",2011-03-07 09:20:00,True,,11164,50.5,23.5,49.5,22.5,447.8886,683.202,23,50,816.926661833215,1
64,64,2011-03-08 02:24:00,2011-03-08 02:32:00,M1.3,POINT(903.006 -274.3632),"POLYGON((898.884 -281.4,901.872 -283.3614,906.996 -267.3132,903.996 -265.3398,898.884 -281.4))",POINT(0.976725485001576 253.099477186648),"POLYGON((0.974795 252.617017,0.978354 252.557673,0.97859 253.578506,0.975035 253.642046,0.974795 252.617017))",POINT(-176.12819 -18),"POLYGON((-176.62819 -18.5,-175.62819 -18.5,-175.62819 -17.5,-176.62819 -17.5,-176.62819 -18.5))",UTC-HGS-TOPO,POINT(79 -18),"POLYGON((78.5 -18.5,79.5 -18.5,79.5 -17.5,78.5 -17.5,78.5 -18.5))",2011-03-08 02:29:00,True,,11165,79.5,-17.5,78.5,-18.5,-274.3632,903.006,-18,79,943.7663914074499,1
67,67,2011-03-09 13:17:00,2011-03-09 14:13:00,M1.7,POINT(100.1688 270.7092),"POLYGON((91.9734 262.6788,108.6288 262.4556,108.3264 278.7096,91.7172 278.9322,91.9734 262.6788))",POINT(0.298839079763236 339.694335589731),"POLYGON((0.288142 340.702994,0.294077 337.51563,0.309579 338.760328,0.303992 341.798339,0.288142 340.702994))",POINT(91.720515 9),"POLYGON((91.220515 8.5,92.220515 8.5,92.220515 9.5,91.220515 9.5,91.220515 8.5))",UTC-HGS-TOPO,POINT(6 9),"POLYGON((5.5 8.5,6.5 8.5,6.5 9.5,5.5 9.5,5.5 8.5))",2011-03-09 14:02:00,True,,11166,6.5,9.5,5.5,8.5,270.7092,100.1688,9,6,288.64729248354297,1
81,81,2011-03-12 04:33:00,2011-03-12 04:48:00,M1.3,POINT(567.2886 181.8804),"POLYGON((560.8776 174.2172,574.488 172.9638,573.6018 189.5226,560.0124 190.7748,560.8776 174.2172))",POINT(0.617188457263909 287.776553300148),"POLYGON((0.608465 287.255597,0.621569 286.755719,0.625859 288.283966,0.612924 288.812013,0.608465 287.255597))",POINT(86.98345 5),"POLYGON((86.48345 4.5,87.48345 4.5,87.48345 5.5,86.48345 5.5,86.48345 4.5))",UTC-HGS-TOPO,POINT(36 5),"POLYGON((35.5 4.5,36.5 4.5,36.5 5.5,35.5 5.5,35.5 4.5))",2011-03-12 04:43:00,True,,11166,36.5,5.5,35.5,4.5,181.8804,567.2886,5,36,595.7321844538196,1
