,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
72,72,2011-03-09 23:13:00,2011-03-09 23:29:00,X1.5,POINT(150.2844 253.5084),"POLYGON((142.1694 245.4942,158.748 245.16,158.3556 261.495,141.8184 261.828,142.1694 245.4942))",POINT(0.305144747077192 329.339765068237),"POLYGON((0.293737 329.92422,0.302414 327.075807,0.316534 328.801828,0.308316 331.557934,0.293737 329.92422))",POINT(89.266803 8),"POLYGON((88.766803 7.5,89.766803 7.5,89.766803 8.5,88.766803 8.5,88.766803 7.5))",UTC-HGS-TOPO,POINT(9 8),"POLYGON((8.5 7.5,9.5 7.5,9.5 8.5,8.5 8.5,8.5 7.5))",2011-03-09 23:23:00,True,,11166,9.5,8.5,8.5,7.5,253.5084,150.2844,8,9,294.70648067852187,1
372,372,2011-08-09 07:48:00,2011-08-09 08:08:00,X6.9,POINT(845.868 239.6748),"POLYGON((845.25 230.9082,850.872 232.5174,846.342 248.4204,840.75 246.8208,845.25 230.9082))",POINT(0.929526600347797 285.819958914644),"POLYGON((0.926412 285.279436,0.932595 285.284033,0.932571 286.35815,0.926421 286.360771,0.926412 285.279436))",POINT(-64.69149 17),"POLYGON((-65.19149 16.5,-64.19149 16.5,-64.19149 17.5,-65.19149 17.5,-65.19149 16.5))",UTC-HGS-TOPO,POINT(69 17),"POLYGON((68.5 16.5,69.5 16.5,69.5 17.5,68.5 17.5,68.5 16.5))",2011-08-09 08:05:00,True,,11263,69.5,17.5,68.5,16.5,239.6748,845.868,17,69,879.1681768461824,1
420,420,2011-09-06 22:12:00,2011-09-06 22:24:00,X2.1,POINT(286.5198 118.1094),"POLYGON((279.4146 109.5264,294.831 110.1558,293.5482 126.6906,278.1984 126.0642,279.4146 109.5264))",POINT(0.325737129684582 292.402471706937),"POLYGON((0.315442 291.404447,0.330812 290.486871,0.33605 293.344238,0.321028 294.377417,0.315442 291.404447))",POINT(-133.61555 14),"POLYGON((-134.11555 13.5,-133.11555 13.5,-133.11555 14.5,-134.11555 14.5,-134.11555 13.5))",UTC-HGS-TOPO,POINT(18 14),"POLYGON((17.5 13.5,18.5 13.5,18.5 14.5,17.5 14.5,17.5 13.5))",2011-09-06 22:20:00,True,,11283,18.5,14.5,17.5,13.5,118.1094,286.5198,14,18,309.90873843826995,1
421,421,2011-09-06 22:12:00,2011-09-06 22:24:00,X2.1,POINT(286.5198 118.1094),"POLYGON((16.67838 -103.9668,16.67838 -103.9668,16.67838 -103.9668,16.67838 -103.9668,16.67838 -103.9668))",POINT(0.325737129684582 292.402471706937),"POLYGON((0.110674 189.113753,0.110674 189.113753,0.110674 189.113753,0.110674 189.113753,0.110674 189.113753))",POINT(-133.61555 14),"POLYGON((-150.61555 1,-150.61555 1,-150.61555 1,-150.61555 1,-150.61555 1))",UTC-HGS-TOPO,POINT(18 14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2011-09-06 22:20:00,True,,1283,1.0,1.0,1.0,1.0,118.1094,286.5198,14,18,309.90873843826995,1
422,422,2011-09-07 22:32:00,2011-09-07 22:44:00,X1.8,POINT(435.2742 126.0222),"POLYGON((429.0384 117.2928,443.3406 118.2492,441.4122 134.748,427.1724 133.7964,429.0384 117.2928))",POINT(0.476170920675429 286.146983250468),"POLYGON((0.467378 285.290206,0.482149 284.934438,0.484967 286.975632,0.470376 287.39129,0.467378 285.290206))",POINT(-137.00528 14),"POLYGON((-137.50528 13.5,-136.50528 13.5,-136.50528 14.5,-137.50528 14.5,-137.50528 13.5))",UTC-HGS-TOPO,POINT(28 14),"POLYGON((27.5 13.5,28.5 13.5,28.5 14.5,27.5 14.5,27.5 13.5))",2011-09-07 22:38:00,True,,11283,28.5,14.5,27.5,13.5,126.0222,435.2742,14,28,453.15033275777256,1
486,486,2011-09-24 09:21:00,2011-09-24 09:48:00,X1.9,POINT(-811.596 140.6106),"POLYGON((-817.11 133.2438,-808.968 131.5236,-805.974 147.9738,-814.08 149.6868,-817.11 133.2438))",POINT(0.861761447732458 80.1709622987478),"POLYGON((0.866172 80.738457,0.857476 80.765539,0.857324 79.596569,0.865989 79.581266,0.866172 80.738457))",POINT(-82.18981 12),"POLYGON((-82.68981 11.5,-81.68981 11.5,-81.68981 12.5,-82.68981 12.5,-82.68981 11.5))",UTC-HGS-TOPO,POINT(-60 12),"POLYGON((-60.5 11.5,-59.5 11.5,-59.5 12.5,-60.5 12.5,-60.5 11.5))",2011-09-24 09:40:00,True,,11302,-59.5,12.5,-60.5,11.5,140.6106,-811.596,12,-60,823.6864743628853,1
585,585,2011-11-03 20:16:00,2011-11-03 20:32:00,X1.9,POINT(-800.322 332.5386),"POLYGON((-806.628 325.1016,-799.542 324.1122,-793.914 339.9564,-800.952 340.938,-806.628 325.1016))",POINT(0.896482493878114 67.4368217919006),"POLYGON((0.899606 68.048701,0.892426 67.933728,0.893357 66.819243,0.900452 66.942197,0.899606 68.048701))",POINT(101.14936 22),"POLYGON((100.64936 21.5,101.64936 21.5,101.64936 22.5,100.64936 22.5,100.64936 21.5))",UTC-HGS-TOPO,POINT(-63 22),"POLYGON((-63.5 21.5,-62.5 21.5,-62.5 22.5,-63.5 22.5,-63.5 21.5))",2011-11-03 20:27:00,True,,11339,-62.5,22.5,-63.5,21.5,332.5386,-800.322,22,-63,866.658654935125,1
182,182,2015-03-11 16:11:00,2015-03-11 16:29:00,X2.1,POINT(-332.2734 -172.3608),"POLYGON((-338.8884 -181.0356,-323.8308 -180.3132,-325.5678 -163.6788,-340.7058 -164.4054,-338.8884 -181.0356))",POINT(0.387750125786782 117.417208251412),"POLYGON((0.398 118.111319,0.383948 119.109629,0.377473 116.690905,0.391873 115.759335,0.398 118.111319))",POINT(-166.65641 -17),"POLYGON((-167.15641 -17.5,-166.15641 -17.5,-166.15641 -16.5,-167.15641 -16.5,-167.15641 -17.5))",UTC-HGS-TOPO,POINT(-21 -17),"POLYGON((-21.5 -17.5,-20.5 -17.5,-20.5 -16.5,-21.5 -16.5,-21.5 -17.5))",2015-03-11 16:22:00,True,,12297,-20.5,-16.5,-21.5,-17.5,-172.3608,-332.2734,-17,-21,374.31785653933207,1
33,33,2012-01-27 17:37:00,2012-01-27 18:56:00,X1.7,POINT(821.376 468.3162),"POLYGON((822.528 461.6064,827.424 460.1568,820.086 474.9942,815.226 476.4318,822.528 461.6064))",POINT(0.970896174082959 299.69008316787),"POLYGON((0.968533 299.301336,0.972196 299.079828,0.973164 300.079443,0.969593 300.302734,0.968533 299.301336))",POINT(-163.27804 27),"POLYGON((-163.77804 26.5,-162.77804 26.5,-162.77804 27.5,-163.77804 27.5,-163.77804 26.5))",UTC-HGS-TOPO,POINT(71 27),"POLYGON((70.5 26.5,71.5 26.5,71.5 27.5,70.5 27.5,70.5 26.5))",2012-01-27 18:37:00,True,,11402,71.5,27.5,70.5,26.5,468.3162,821.376,27,71,945.5044138228227,1
60,60,2012-03-05 02:30:00,2012-03-05 04:43:00,X1.1,POINT(-730.47 353.1528),"POLYGON((-737.34 344.4912,-727.398 346.1256,-723.51 361.7778,-733.398 360.1512,-737.34 344.4912))",POINT(0.839183680955042 64.1981050721708),"POLYGON((0.841755 64.957639,0.833176 64.552992,0.83666 63.433504,0.845077 63.845639,0.841755 64.957639))",POINT(-58.39634 17),"POLYGON((-58.89634 16.5,-57.89634 16.5,-57.89634 17.5,-58.89634 17.5,-58.89634 16.5))",UTC-HGS-TOPO,POINT(-52 17),"POLYGON((-52.5 16.5,-51.5 16.5,-51.5 17.5,-52.5 17.5,-52.5 16.5))",2012-03-05 04:09:00,True,,11429,-51.5,17.5,-52.5,16.5,353.1528,-730.47,17,-52,811.3589347803104,1
