Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
191,2011-05-01 23:25:00,2011-05-01 23:39:00,C6.5,POINT(872.76 352.5942),"POLYGON((874.17 345.4458,877.074 344.3232,871.206 359.718,868.32 360.8346,874.17 345.4458))",POINT(0.98908495634774 291.998660815257),"POLYGON((0.987674 291.562447,0.990081 291.434063,0.990404 292.435564,0.988051 292.565565,0.987674 291.562447))",POINT(179.7709 21),"POLYGON((179.2709 20.5,-179.7291 20.5,-179.7291 21.5,179.2709 21.5,179.2709 20.5))",UTC-HGS-TOPO,POINT(79 21),"POLYGON((78.5 20.5,79.5 20.5,79.5 21.5,78.5 21.5,78.5 20.5))",2011-05-01 23:32:00,True,,11199,79.5,21.5,78.5,20.5,352.5942,872.76,21,79,941.293093289035,1
192,2011-05-03 18:44:00,2011-05-03 18:57:00,B4.1,POINT(-486.3432 315.9414),"POLYGON((-494.3274 307.776,-480.7302 308.373,-478.3188 324.0768,-491.8476 323.4828,-494.3274 307.776))",POINT(0.609676546591413 56.9911814829224),"POLYGON((0.612152 58.092959,0.600404 57.321131,0.607376 55.881062,0.618858 56.667517,0.612152 58.092959))",POINT(44.915583 16),"POLYGON((44.415583 15.5,45.415583 15.5,45.415583 16.5,44.415583 16.5,44.415583 15.5))",UTC-HGS-TOPO,POINT(-32 16),"POLYGON((-32.5 15.5,-31.5 15.5,-31.5 16.5,-32.5 16.5,-32.5 15.5))",2011-05-03 18:48:00,True,,11204,-31.5,16.5,-32.5,15.5,315.9414,-486.3432,16,-32,579.9557538469637,1
193,2011-05-08 10:01:00,2011-05-08 10:13:00,B4.4,POINT(567.2712 351.9162),"POLYGON((562.8222 344.4864,575.0574 343.8732,571.5972 359.3166,559.4358 359.9268,562.8222 344.4864))",POINT(0.702548755449531 301.814089589371),"POLYGON((0.694461 301.469536,0.705144 300.878607,0.710536 302.15423,0.70008 302.756201,0.694461 301.469536))",POINT(54.619156 19),"POLYGON((54.119156 18.5,55.119156 18.5,55.119156 19.5,54.119156 19.5,54.119156 18.5))",UTC-HGS-TOPO,POINT(39 19),"POLYGON((38.5 18.5,39.5 18.5,39.5 19.5,38.5 19.5,38.5 18.5))",2011-05-08 10:08:00,True,,11203,39.5,19.5,38.5,18.5,351.9162,567.2712,19,39,667.5639491253853,1
194,2011-05-09 13:19:00,2011-05-09 13:47:00,B7.1,POINT(-231.9876 375.8652),"POLYGON((-240.2874 368.0838,-225.1338 368.3268,-223.701 383.613,-238.7586 383.3718,-240.2874 368.0838))",POINT(0.464961348990193 31.6832818934546),"POLYGON((0.462729 33.136753,0.454423 31.434685,0.467467 30.248274,0.475433 31.914073,0.462729 33.136753))",POINT(-14.42030989 20),"POLYGON((-14.92031 19.5,-13.92031 19.5,-13.92031 20.5,-14.92031 20.5,-14.92031 19.5))",UTC-HGS-TOPO,POINT(-15 20),"POLYGON((-15.5 19.5,-14.5 19.5,-14.5 20.5,-15.5 20.5,-15.5 19.5))",2011-05-09 13:25:00,True,,11210,-14.5,20.5,-15.5,19.5,375.8652,-231.9876,20,-15,441.6932138088608,1
195,2011-05-09 17:31:00,2011-05-09 17:48:00,C1.5,POINT(-186.3606 376.221),"POLYGON((-194.6148 368.4648,-179.2674 368.6586,-178.1268 383.9436,-193.3764 383.751,-194.6148 368.4648))",POINT(0.44198301812455 26.3514569239105),"POLYGON((0.438672 27.842004,0.431546 25.932237,0.445566 24.888472,0.452375 26.744044,0.438672 27.842004))",POINT(-13.73415 20),"POLYGON((-14.23415 19.5,-13.23415 19.5,-13.23415 20.5,-14.23415 20.5,-14.23415 19.5))",UTC-HGS-TOPO,POINT(-12 20),"POLYGON((-12.5 19.5,-11.5 19.5,-11.5 20.5,-12.5 20.5,-12.5 19.5))",2011-05-09 17:41:00,True,,11210,-11.5,20.5,-12.5,19.5,376.221,-186.3606,20,-12,419.8482036085899,1
196,2011-05-13 21:35:00,2011-05-13 21:50:00,B2.2,POINT(586.3488 403.7994),"POLYGON((582.7944 396.5346,594.1728 396.006,589.7712 411.0324,578.4768 411.558,582.7944 396.5346))",POINT(0.750161854878169 304.553923980945),"POLYGON((0.742747 304.231458,0.752381 303.682777,0.757466 304.874004,0.748055 305.429994,0.742747 304.231458))",POINT(-14.86811 23),"POLYGON((-15.36811 22.5,-14.36811 22.5,-14.36811 23.5,-15.36811 23.5,-15.36811 22.5))",UTC-HGS-TOPO,POINT(42 23),"POLYGON((41.5 22.5,42.5 22.5,42.5 23.5,41.5 23.5,41.5 22.5))",2011-05-13 21:40:00,True,,11210,42.5,23.5,41.5,22.5,403.7994,586.3488,23,42,711.9402156795189,1
197,2011-05-14 00:57:00,2011-05-14 01:00:00,B2.1,POINT(827.454 -291.8214),"POLYGON((821.874 -299.3526,827.928 -300.042,832.92 -284.2722,826.83 -283.578,821.874 -299.3526))",POINT(0.924537920785234 250.573585629673),"POLYGON((0.921681 249.98677,0.927924 250.079429,0.927372 251.155436,0.921063 251.069563,0.921681 249.98677))",POINT(8.27676000000002 -19),"POLYGON((7.77676 -19.5,8.77676 -19.5,8.77676 -18.5,7.77676 -18.5,7.77676 -19.5))",UTC-HGS-TOPO,POINT(67 -19),"POLYGON((66.5 -19.5,67.5 -19.5,67.5 -18.5,66.5 -18.5,66.5 -19.5))",2011-05-14 00:58:00,True,,11213,67.5,-18.5,66.5,-19.5,-291.8214,827.454,-19,67,877.4051809819453,1
198,2011-05-15 14:11:00,2011-05-15 14:30:00,C1.3,POINT(660.594 211.9662),"POLYGON((655.914 204.1392,667.422 203.5932,665.154 219.7746,653.682 220.3194,655.914 204.1392))",POINT(0.731277754563149 287.78998764236),"POLYGON((0.724088 287.287636,0.735511 286.964022,0.738397 288.284155,0.727108 288.626065,0.724088 287.287636))",POINT(-34.24065 11),"POLYGON((-34.74065 10.5,-33.74065 10.5,-33.74065 11.5,-34.74065 11.5,-34.74065 10.5))",UTC-HGS-TOPO,POINT(45 11),"POLYGON((44.5 10.5,45.5 10.5,45.5 11.5,44.5 11.5,44.5 10.5))",2011-05-15 14:25:00,True,,11208,45.5,11.5,44.5,10.5,211.9662,660.594,11,45,693.7680468127945,1
199,2011-05-15 16:16:00,2011-05-15 16:22:00,B5.6,POINT(717.762 192.8022),"POLYGON((713.574 184.9644,724.056 184.3746,721.824 200.6232,711.372 201.2118,713.574 184.9644))",POINT(0.783402899581797 285.035628328103),"POLYGON((0.777026 284.531726,0.787573 284.286256,0.789706 285.532698,0.779266 285.793573,0.777026 284.531726))",POINT(-30.38871 10),"POLYGON((-30.88871 9.5,-29.88871 9.5,-29.88871 10.5,-30.88871 10.5,-30.88871 9.5))",UTC-HGS-TOPO,POINT(50 10),"POLYGON((49.5 9.5,50.5 9.5,50.5 10.5,49.5 10.5,49.5 9.5))",2011-05-15 16:20:00,True,,11208,50.5,10.5,49.5,9.5,192.8022,717.762,10,50,743.2058779159646,1
200,2011-05-15 17:39:00,2011-05-15 17:45:00,B8.4,POINT(715.422 208.9494),"POLYGON((711.36 201.141,721.812 200.5536,719.358 216.7404,708.942 217.3266,711.36 201.141))",POINT(0.78563144629688 286.281211877399),"POLYGON((0.779243 285.788546,0.789684 285.527815,0.791945 286.767396,0.78162 287.042953,0.779243 285.788546))",POINT(-31.15102 11),"POLYGON((-31.65102 10.5,-30.65102 10.5,-30.65102 11.5,-31.65102 11.5,-31.65102 10.5))",UTC-HGS-TOPO,POINT(50 11),"POLYGON((49.5 10.5,50.5 10.5,50.5 11.5,49.5 11.5,49.5 10.5))",2011-05-15 17:43:00,True,,11208,50.5,11.5,49.5,10.5,208.9494,715.422,11,50,745.3110020953402,1
