,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
175,175,2011-04-22 20:54:00,2011-04-22 21:01:00,B9.5,POINT(-487.8456 -195.108),"POLYGON((-493.3704 -203.64,-479.799 -202.9098,-482.2122 -186.564,-495.8514 -187.2984,-493.3704 -203.64))",POINT(0.550751683077568 111.798347711016),"POLYGON((0.559484 112.428523,0.546062 112.923786,0.541978 111.151051,0.555607 110.693101,0.559484 112.428523))",POINT(-170.92508 -16),"POLYGON((-171.42508 -16.5,-170.42508 -16.5,-170.42508 -15.5,-171.42508 -15.5,-171.42508 -16.5))",UTC-HGS-TOPO,POINT(-32 -16),"POLYGON((-32.5 -16.5,-31.5 -16.5,-31.5 -15.5,-32.5 -15.5,-32.5 -16.5))",2011-04-22 20:57:00,True,,11195,-31.5,-15.5,-32.5,-16.5,-195.108,-487.8456,-16,-32,525.4145611832241,1
262,262,2011-07-03 00:01:00,2011-07-03 00:33:00,B9.5,POINT(373.77 184.3008),"POLYGON((367.2216 176.0214,381.8928 176.3622,380.2296 192.5682,365.622 192.2292,367.2216 176.0214))",POINT(0.441840900907023 296.247266776244),"POLYGON((0.431759 295.609934,0.445987 294.788,0.451886 296.860044,0.437958 297.733571,0.431759 295.609934))",POINT(24.10842074 14),"POLYGON((23.608421 13.5,24.608421 13.5,24.608421 14.5,23.608421 14.5,23.608421 13.5))",UTC-HGS-TOPO,POINT(24 14),"POLYGON((23.5 13.5,24.5 13.5,24.5 14.5,23.5 14.5,23.5 13.5))",2011-07-03 00:24:00,True,,11244,24.5,14.5,23.5,13.5,184.3008,373.77,14,24,416.73828451516187,1
214,214,2015-03-19 00:59:00,2015-03-19 01:13:00,B9.5,POINT(847.008 219.5886),"POLYGON((844.512 212.3502,851.994 210.5088,849.36 226.8078,841.902 228.645,844.512 212.3502))",POINT(0.908272340924578 284.534070547253),"POLYGON((0.903903 284.114259,0.910977 283.878554,0.91254 284.951052,0.905561 285.193997,0.903903 284.114259))",POINT(-179.74983 10),"POLYGON((179.75017 9.5,-179.24983 9.5,-179.24983 10.5,179.75017 10.5,179.75017 9.5))",UTC-HGS-TOPO,POINT(63 10),"POLYGON((62.5 9.5,63.5 9.5,63.5 10.5,62.5 10.5,62.5 9.5))",2015-03-19 01:07:00,True,,12302,63.5,10.5,62.5,9.5,219.5886,847.008,10,63,875.0095458416209,1
604,604,2015-08-25 13:56:00,2015-08-25 14:05:00,B9.5,POINT(294.9174 -397.0302),"POLYGON((286.6044 -404.8716,301.503 -404.2326,303.2274 -389.148,288.2442 -389.79,286.6044 -404.8716))",POINT(0.521311827798037 216.6052781344),"POLYGON((0.522859 215.294281,0.531546 216.717974,0.520004 217.926022,0.510992 216.482402,0.522859 215.294281))",POINT(-172.9768 -18),"POLYGON((-173.4768 -18.5,-172.4768 -18.5,-172.4768 -17.5,-173.4768 -17.5,-173.4768 -18.5))",UTC-HGS-TOPO,POINT(19 -18),"POLYGON((18.5 -18.5,19.5 -18.5,19.5 -17.5,18.5 -17.5,18.5 -18.5))",2015-08-25 14:02:00,True,,12403,19.5,-17.5,18.5,-18.5,-397.0302,294.9174,-18,19,494.57987477737106,1
156,156,2016-05-24 20:49:00,2016-05-24 21:10:00,B9.5,POINT(829.61502 -120.53223),"POLYGON((824.7174 -128.555028,832.34832 -128.922204,834.3951 -112.502082,826.74558 -112.132848,824.7174 -128.555028))",POINT(0.885439714927135 261.73351135925),"POLYGON((0.881586 261.140166,0.88961 261.195437,0.889263 262.321079,0.881204 262.276013,0.881586 261.140166))",POINT(-134.1586 -8),"POLYGON((-134.6586 -8.5,-133.6586 -8.5,-133.6586 -7.5,-134.6586 -7.5,-134.6586 -8.5))",UTC-HGS-TOPO,POINT(62 -8),"POLYGON((61.5 -8.5,62.5 -8.5,62.5 -7.5,61.5 -7.5,61.5 -8.5))",2016-05-24 21:07:00,True,,12546,62.5,-7.5,61.5,-8.5,-120.53223,829.61502,-8,62,838.3251755007558,1
148,148,2012-04-25 08:45:00,2012-04-25 09:00:00,B9.5,POINT(880.68 253.506),"POLYGON((880.068 246.1326,885.006 244.8552,881.154 260.8596,876.234 262.1334,880.068 246.1326))",POINT(0.961516448147196 286.058600006631),"POLYGON((0.958787 285.624952,0.963419 285.465205,0.964156 286.491026,0.95959 286.655034,0.958787 285.624952))",POINT(109.364783 14),"POLYGON((108.864783 13.5,109.864783 13.5,109.864783 14.5,108.864783 14.5,108.864783 13.5))",UTC-HGS-TOPO,POINT(72 14),"POLYGON((71.5 13.5,72.5 13.5,72.5 14.5,71.5 14.5,71.5 13.5))",2012-04-25 08:57:00,True,,11460,72.5,14.5,71.5,13.5,253.506,880.68,14,72,916.4401532211474,1
151,151,2012-04-27 04:54:00,2012-04-27 05:09:00,B9.5,POINT(442.2018 231.0456),"POLYGON((435.5922 223.251,450.1122 222.6342,448.7208 238.8174,434.2452 239.433,435.5922 223.251))",POINT(0.523710645414225 297.586574997187),"POLYGON((0.513788 297.136181,0.527111 296.31789,0.533569 298.022723,0.520516 298.87135,0.513788 297.136181))",POINT(41.058589 10),"POLYGON((40.558589 9.5,41.558589 9.5,41.558589 10.5,40.558589 10.5,40.558589 9.5))",UTC-HGS-TOPO,POINT(28 10),"POLYGON((27.5 9.5,28.5 9.5,28.5 10.5,27.5 10.5,27.5 9.5))",2012-04-27 05:01:00,True,,11466,28.5,10.5,27.5,9.5,231.0456,442.2018,10,28,498.92334201017286,1
365,365,2012-07-02 02:51:00,2012-07-02 02:57:00,B9.5,POINT(-171.894 -338.9352),"POLYGON((-179.085 -346.5522,-163.698 -346.7148,-164.6334 -331.2882,-180.1086 -331.125,-179.085 -346.5522))",POINT(0.402893638121429 153.107749970776),"POLYGON((0.413556 152.671799,0.406481 154.72612,0.392195 153.574959,0.399614 151.456934,0.413556 152.671799))",POINT(-150.00215 -18),"POLYGON((-150.50215 -18.5,-149.50215 -18.5,-149.50215 -17.5,-150.50215 -17.5,-150.50215 -18.5))",UTC-HGS-TOPO,POINT(-11 -18),"POLYGON((-11.5 -18.5,-10.5 -18.5,-10.5 -17.5,-11.5 -17.5,-11.5 -18.5))",2012-07-02 02:54:00,True,,11515,-10.5,-17.5,-11.5,-18.5,-338.9352,-171.894,-18,-11,380.03238945521474,1
597,597,2012-08-28 21:04:00,2012-08-28 21:16:00,B9.5,POINT(-527.847 34.37304),"POLYGON((-535.2786 26.65524,-521.628 25.51008,-520.3506 42.09744,-533.9676 43.23912,-535.2786 26.65524))",POINT(0.5570601522686 86.2741980617008),"POLYGON((0.564408 87.1492,0.54999 87.200196,0.549779 85.374726,0.564169 85.370458,0.564408 87.1492))",POINT(143.12284 8),"POLYGON((142.62284 7.5,143.62284 7.5,143.62284 8.5,142.62284 8.5,142.62284 7.5))",UTC-HGS-TOPO,POINT(-34 8),"POLYGON((-34.5 7.5,-33.5 7.5,-33.5 8.5,-34.5 8.5,-34.5 7.5))",2012-08-28 21:10:00,True,,11555,-33.5,8.5,-34.5,7.5,34.37304,-527.847,8,-34,528.9649906069792,1
138,138,2013-04-22 06:06:00,2013-04-22 06:17:00,B9.5,POINT(395.952 272.3838),"POLYGON((389.2434 264.672,404.0772 264.06,402.5718 280.0698,387.7938 280.68,389.2434 264.672))",POINT(0.503770140430674 304.524909606032),"POLYGON((0.493402 304.214342,0.505985 303.164174,0.51406 304.826393,0.501797 305.89652,0.493402 304.214342))",POINT(-34.0985 12),"POLYGON((-34.5985 11.5,-33.5985 11.5,-33.5985 12.5,-34.5985 12.5,-34.5985 11.5))",UTC-HGS-TOPO,POINT(25 12),"POLYGON((24.5 11.5,25.5 11.5,25.5 12.5,24.5 12.5,24.5 11.5))",2013-04-22 06:14:00,True,,11726,25.5,12.5,24.5,11.5,272.3838,395.952,12,25,480.59434121350193,1
334,334,2013-07-02 19:59:00,2013-07-02 20:20:00,B9.5,POINT(873.588 -212.2254),"POLYGON((869.31 -220.653,874.482 -219.8208,877.74 -203.7798,872.55 -204.6132,869.31 -220.653))",POINT(0.953096001171534 256.345349971439),"POLYGON((0.950848 255.757654,0.955948 255.889763,0.955309 256.929522,0.950152 256.802586,0.950848 255.757654))",POINT(145.00085 -12),"POLYGON((144.50085 -12.5,145.50085 -12.5,145.50085 -11.5,144.50085 -11.5,144.50085 -12.5))",UTC-HGS-TOPO,POINT(71 -12),"POLYGON((70.5 -12.5,71.5 -12.5,71.5 -11.5,70.5 -11.5,70.5 -12.5))",2013-07-02 20:14:00,True,,11780,71.5,-11.5,70.5,-12.5,-212.2254,873.588,-12,71,898.9970045273565,1
209,209,2017-08-18 08:49:00,2017-08-18 08:54:00,B9.5,POINT(-701.51454 124.055748),"POLYGON((-708.07296 116.5875,-697.45206 115.143468,-694.86816 131.523084,-705.44994 132.960798,-708.07296 116.5875))",POINT(0.751959620999968 79.9715015891519),"POLYGON((0.757457 80.649879,0.746148 80.625506,0.746478 79.281978,0.757735 79.3263,0.757457 80.649879))",POINT(-73.97694 12),"POLYGON((-74.47694 11.5,-73.47694 11.5,-73.47694 12.5,-74.47694 12.5,-74.47694 11.5))",UTC-HGS-TOPO,POINT(-49 12),"POLYGON((-49.5 11.5,-48.5 11.5,-48.5 12.5,-49.5 12.5,-49.5 11.5))",2017-08-18 08:52:00,True,,12671,-48.5,12.5,-49.5,11.5,124.055748,-701.51454,12,-49,712.3991005351222,1
564,564,2014-08-15 08:27:00,2014-08-15 08:48:00,B9.5,POINT(-449.0832 118.668),"POLYGON((-457.0302 110.9016,-442.8792 109.9968,-441.0954 126.4344,-455.1894 127.3344,-457.0302 110.9016))",POINT(0.490565592709018 75.1981991534284),"POLYGON((0.496687 76.360407,0.481945 76.051824,0.48461 74.005722,0.499191 74.371601,0.496687 76.360407))",POINT(51.753425 13),"POLYGON((51.253425 12.5,52.253425 12.5,52.253425 13.5,51.253425 13.5,51.253425 12.5))",UTC-HGS-TOPO,POINT(-29 13),"POLYGON((-29.5 12.5,-28.5 12.5,-28.5 13.5,-29.5 13.5,-29.5 12.5))",2014-08-15 08:37:00,True,,12139,-28.5,13.5,-29.5,12.5,118.668,-449.0832,13,-29,464.4973786214945,1
576,576,2014-08-20 00:04:00,2014-08-20 00:13:00,B9.5,POINT(-668.79 -273.2532),"POLYGON((-673.098 -280.4466,-661.884 -281.8524,-664.362 -266.0352,-675.612 -264.6252,-673.098 -280.4466))",POINT(0.76236233670637 112.223868133162),"POLYGON((0.76946 112.619074,0.75913 113.065931,0.755175 111.822996,0.765664 111.389395,0.76946 112.619074))",POINT(-26.71575 -12),"POLYGON((-27.21575 -12.5,-26.21575 -12.5,-26.21575 -11.5,-27.21575 -11.5,-27.21575 -12.5))",UTC-HGS-TOPO,POINT(-46 -12),"POLYGON((-46.5 -12.5,-45.5 -12.5,-45.5 -11.5,-46.5 -11.5,-46.5 -12.5))",2014-08-20 00:09:00,True,,12147,-45.5,-11.5,-46.5,-12.5,-273.2532,-668.79,-12,-46,722.4592551903811,1
2,2,2018-01-22 02:37:00,2018-01-22 03:20:00,B9.5,POINT(807.17094 -173.044176),"POLYGON((801.11706 -180.77094,809.84712 -182.034936,813.11886 -165.310716,804.35376 -164.040474,801.11706 -180.77094))",POINT(0.84722982416895 257.899883254899),"POLYGON((0.842866 257.28425,0.851891 257.331783,0.851583 258.508132,0.842508 258.473131,0.842866 257.28425))",POINT(126.054279 -13),"POLYGON((125.554279 -13.5,126.554279 -13.5,126.554279 -12.5,125.554279 -12.5,125.554279 -13.5))",UTC-HGS-TOPO,POINT(58 -13),"POLYGON((57.5 -13.5,58.5 -13.5,58.5 -12.5,57.5 -12.5,57.5 -13.5))",2018-01-22 02:57:00,True,,12696,58.5,-12.5,57.5,-13.5,-173.044176,807.17094,-13,58,825.5114858243963,1
