,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
53,53,2011-03-06 06:59:00,2011-03-06 07:09:00,C2.8,POINT(522.8058 423.3228),"POLYGON((517.9098 416.3052,530.9592 415.1322,527.58 430.3044,514.6134 431.4708,517.9098 416.3052))",POINT(0.695874110078135 308.997551621342),"POLYGON((0.687374 308.792946,0.697199 308.020191,0.704262 309.201347,0.694694 309.977706,0.687374 308.792946))",POINT(163.70642 20),"POLYGON((163.20642 19.5,164.20642 19.5,164.20642 20.5,163.20642 20.5,163.20642 19.5))",UTC-HGS-TOPO,POINT(35 20),"POLYGON((34.5 19.5,35.5 19.5,35.5 20.5,34.5 20.5,34.5 19.5))",2011-03-06 07:07:00,True,,11164,35.5,20.5,34.5,19.5,423.3228,522.8058,20,35,672.7020867467858,1
140,140,2011-04-15 13:47:00,2011-04-15 13:54:00,C2.8,POINT(380.37 298.266),"POLYGON((373.6482 290.6304,388.5762 289.9716,387.0042 305.8734,372.1362 306.5298,373.6482 290.6304))",POINT(0.505653483649624 308.101662499975),"POLYGON((0.495195 307.87643,0.5072 306.731819,0.516029 308.321503,0.504355 309.478395,0.495195 307.87643))",POINT(-18.56193 13),"POLYGON((-19.06193 12.5,-18.06193 12.5,-18.06193 13.5,-19.06193 13.5,-19.06193 12.5))",UTC-HGS-TOPO,POINT(24 13),"POLYGON((23.5 12.5,24.5 12.5,24.5 13.5,23.5 13.5,23.5 12.5))",2011-04-15 13:50:00,True,,11190,24.5,13.5,23.5,12.5,298.266,380.37,13,24,483.36729684164607,1
222,222,2011-05-30 10:48:00,2011-05-30 11:22:00,C2.8,POINT(-780.882 -285.7884),"POLYGON((-782.502 -293.7624,-774.708 -293.5662,-779.124 -277.7922,-786.96 -277.9908,-782.502 -293.7624))",POINT(0.879001824542699 110.101693245074),"POLYGON((0.883537 110.576851,0.875755 110.753595,0.874382 109.623402,0.882259 109.455585,0.883537 110.576851))",POINT(24.182079 -18),"POLYGON((23.682079 -18.5,24.682079 -18.5,24.682079 -17.5,23.682079 -17.5,23.682079 -18.5))",UTC-HGS-TOPO,POINT(-60 -18),"POLYGON((-60.5 -18.5,-59.5 -18.5,-59.5 -17.5,-60.5 -17.5,-60.5 -18.5))",2011-05-30 11:01:00,True,,11227,-59.5,-17.5,-60.5,-18.5,-285.7884,-780.882,-18,-60,831.5357523874483,1
269,269,2011-07-08 11:41:00,2011-07-08 12:00:00,C2.8,POINT(-291.5148 -361.2234),"POLYGON((-297.9738 -368.6742,-283.2504 -369.0042,-284.9664 -353.7408,-299.7792 -353.4096,-297.9738 -368.6742))",POINT(0.492124800054705 141.095748299223),"POLYGON((0.502573 141.053793,0.493188 142.489885,0.481591 141.145787,0.491328 139.693771,0.502573 141.053793))",POINT(-91.50265 -19),"POLYGON((-92.00265 -19.5,-91.00265 -19.5,-91.00265 -18.5,-92.00265 -18.5,-92.00265 -19.5))",UTC-HGS-TOPO,POINT(-19 -19),"POLYGON((-19.5 -19.5,-18.5 -19.5,-18.5 -18.5,-19.5 -18.5,-19.5 -19.5))",2011-07-08 11:51:00,True,,11247,-18.5,-18.5,-19.5,-19.5,-361.2234,-291.5148,-19,-19,464.18016257332664,1
467,467,2011-09-21 15:21:00,2011-09-21 15:30:00,C2.8,POINT(621.45 261.4614),"POLYGON((617.868 252.7788,629.106 254.1072,624.894 270.1254,613.734 268.8066,617.868 252.7788))",POINT(0.705908478521401 292.817852046531),"POLYGON((0.69896 292.250185,0.710384 291.994666,0.712784 293.377571,0.701519 293.652722,0.69896 292.250185))",POINT(58.107602 21),"POLYGON((57.607602 20.5,58.607602 20.5,58.607602 21.5,57.607602 21.5,57.607602 20.5))",UTC-HGS-TOPO,POINT(44 21),"POLYGON((43.5 20.5,44.5 20.5,44.5 21.5,43.5 21.5,43.5 20.5))",2011-09-21 15:26:00,True,,11295,44.5,21.5,43.5,20.5,261.4614,621.45,21,44,674.2122560365987,1
563,563,2011-10-16 06:41:00,2011-10-16 07:28:00,C2.8,POINT(82.6746 87.7284),"POLYGON((74.5494 79.2582,91.0686 79.404,90.7596 96.1986,74.2962 96.0534,74.5494 79.2582))",POINT(0.125325663765678 316.698776175169),"POLYGON((0.113124 316.753555,0.125615 311.085634,0.137499 316.666383,0.126249 322.278461,0.113124 316.753555))",POINT(53.999762 11),"POLYGON((53.499762 10.5,54.499762 10.5,54.499762 11.5,53.499762 11.5,53.499762 10.5))",UTC-HGS-TOPO,POINT(5 11),"POLYGON((4.5 10.5,5.5 10.5,5.5 11.5,4.5 11.5,4.5 10.5))",2011-10-16 07:01:00,True,,11319,5.5,11.5,4.5,10.5,87.7284,82.6746,11,5,120.54609762128344,1
610,610,2011-11-16 13:28:00,2011-11-16 13:44:00,C2.8,POINT(-301.5024 -342.1332),"POLYGON((-308.2356 -349.9392,-293.0052 -350.1972,-294.6798 -334.2984,-309.9972 -334.0392,-308.2356 -349.9392))",POINT(0.470280181735553 138.61211901587),"POLYGON((0.480911 138.625557,0.470881 140.081239,0.459567 138.604232,0.469965 137.13787,0.480911 138.625557))",POINT(-22.5089 -18),"POLYGON((-23.0089 -18.5,-22.0089 -18.5,-22.0089 -17.5,-23.0089 -17.5,-23.0089 -18.5))",UTC-HGS-TOPO,POINT(-19 -18),"POLYGON((-19.5 -18.5,-18.5 -18.5,-18.5 -17.5,-19.5 -17.5,-19.5 -18.5))",2011-11-16 13:37:00,True,,11346,-18.5,-17.5,-19.5,-18.5,-342.1332,-301.5024,-18,-19,456.025025352776,1
689,689,2011-12-26 09:38:00,2011-12-26 09:56:00,C2.8,POINT(507.4098 -336.486),"POLYGON((499.0458 -344.3202,512.1066 -344.6556,515.7426 -328.6302,502.5888 -328.2918,499.0458 -344.3202))",POINT(0.624432007981257 236.449872454282),"POLYGON((0.621829 235.395989,0.633092 236.058841,0.627206 237.494791,0.615681 236.847367,0.621829 235.395989))",POINT(-134.50162 -22),"POLYGON((-135.00162 -22.5,-134.00162 -22.5,-134.00162 -21.5,-135.00162 -21.5,-135.00162 -22.5))",UTC-HGS-TOPO,POINT(34 -22),"POLYGON((33.5 -22.5,34.5 -22.5,34.5 -21.5,33.5 -21.5,33.5 -22.5))",2011-12-26 09:48:00,True,,11387,34.5,-21.5,33.5,-22.5,-336.486,507.4098,-22,34,608.8411396514201,1
706,706,2011-12-29 16:14:00,2011-12-29 16:34:00,C2.8,POINT(-802.158 -411.168),"POLYGON((-801.756 -419.1864,-795.6 -418.5654,-802.416 -403.1166,-808.62 -403.7436,-801.756 -419.1864))",POINT(0.924356715387431 117.138648196741),"POLYGON((0.927771 117.60216,0.921885 117.748871,0.920856 116.673973,0.926833 116.532936,0.927771 117.60216))",POINT(82.3611 -26),"POLYGON((81.8611 -26.5,82.8611 -26.5,82.8611 -25.5,81.8611 -25.5,81.8611 -26.5))",UTC-HGS-TOPO,POINT(-66 -26),"POLYGON((-66.5 -26.5,-65.5 -26.5,-65.5 -25.5,-66.5 -25.5,-66.5 -26.5))",2011-12-29 16:21:00,True,,11389,-65.5,-25.5,-66.5,-26.5,-411.168,-802.158,-26,-66,901.3970164073097,1
80,80,2015-02-01 03:24:00,2015-02-01 05:14:00,C2.8,POINT(695.832 -150.5964),"POLYGON((688.746 -158.358,700.008 -159.6162,702.84 -142.8318,691.53 -141.5676,688.746 -158.358))",POINT(0.731469436144335 257.788028132987),"POLYGON((0.726101 257.051469,0.737668 257.154999,0.736878 258.51273,0.725233 258.430463,0.726101 257.051469))",POINT(48.8252596 -13),"POLYGON((48.32526 -13.5,49.32526 -13.5,49.32526 -12.5,48.32526 -12.5,48.32526 -13.5))",UTC-HGS-TOPO,POINT(47 -13),"POLYGON((46.5 -13.5,47.5 -13.5,47.5 -12.5,46.5 -12.5,46.5 -13.5))",2015-02-01 04:36:00,True,,12268,47.5,-12.5,46.5,-13.5,-150.5964,695.832,-13,47,711.9420256713043,1
