,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
100,100,2011-03-24 12:01:00,2011-03-24 12:11:00,M1.0,POINT(-632.802 -182.4894),"POLYGON((-637.056 -191.3844,-625.278 -190.0692,-628.422 -173.5818,-640.26 -174.9048,-637.056 -191.3844))",POINT(0.684631613604025 106.086667099936),"POLYGON((0.691485 106.721322,0.67937 106.907987,0.677734 105.441139,0.689965 105.279141,0.691485 106.721322))",POINT(-154.30298 -16),"POLYGON((-154.80298 -16.5,-153.80298 -16.5,-153.80298 -15.5,-154.80298 -15.5,-154.80298 -16.5))",UTC-HGS-TOPO,POINT(-43 -16),"POLYGON((-43.5 -16.5,-42.5 -16.5,-42.5 -15.5,-43.5 -15.5,-43.5 -16.5))",2011-03-24 12:07:00,True,,11176,-42.5,-15.5,-43.5,-16.5,-182.4894,-632.802,-16,-43,658.589972833143,1
489,489,2011-09-24 23:45:00,2011-09-25 00:09:00,M1.0,POINT(776.19 -498.7122),"POLYGON((769.674 -506.5884,775.068 -504.9174,782.622 -490.7874,777.174 -492.474,769.674 -506.5884))",POINT(0.965083434913397 237.278726147342),"POLYGON((0.963861 236.64766,0.967624 236.917801,0.966321 237.907905,0.962441 237.638678,0.963861 236.64766))",POINT(37.89117 -29),"POLYGON((37.39117 -29.5,38.39117 -29.5,38.39117 -28.5,37.39117 -28.5,37.39117 -29.5))",UTC-HGS-TOPO,POINT(68 -29),"POLYGON((67.5 -29.5,68.5 -29.5,68.5 -28.5,67.5 -28.5,67.5 -29.5))",2011-09-24 23:58:00,True,,11303,68.5,-28.5,67.5,-29.5,-498.7122,776.19,-29,68,922.5967561881192,1
518,518,2011-09-30 18:55:00,2011-09-30 19:15:00,M1.0,POINT(-99.5778 21.58842),"POLYGON((-107.9694 13.30194,-91.4154 13.09752,-91.191 29.88216,-107.7048 30.08592,-107.9694 13.30194))",POINT(0.106407825566477 77.7676064879199),"POLYGON((0.113608 82.976494,0.096443 81.84645,0.100216 71.856672,0.116785 74.392993,0.113608 82.976494))",POINT(-112.63351 8),"POLYGON((-113.13351 7.5,-112.13351 7.5,-112.13351 8.5,-113.13351 8.5,-113.13351 7.5))",UTC-HGS-TOPO,POINT(-6 8),"POLYGON((-6.5 7.5,-5.5 7.5,-5.5 8.5,-6.5 8.5,-6.5 7.5))",2011-09-30 19:06:00,True,,11305,-5.5,8.5,-6.5,7.5,21.58842,-99.5778,8,-6,101.89110918493526,1
68,68,2015-01-28 21:32:00,2015-01-28 21:40:00,M1.0,POINT(-923.292 163.3296),"POLYGON((-926.79 154.1598,-921.93 155.7906,-919.662 172.4838,-924.51 170.8554,-926.79 154.1598))",POINT(0.962947697652734 79.9682069482354),"POLYGON((0.964896 80.556037,0.96025 80.408591,0.960965 79.377506,0.965554 79.529506,0.964896 80.556037))",POINT(-28.45754 8),"POLYGON((-28.95754 7.5,-27.95754 7.5,-27.95754 8.5,-28.95754 8.5,-28.95754 7.5))",UTC-HGS-TOPO,POINT(-73 8),"POLYGON((-73.5 7.5,-72.5 7.5,-72.5 8.5,-73.5 8.5,-73.5 7.5))",2015-01-28 21:37:00,True,,12277,-72.5,8.5,-73.5,7.5,163.3296,-923.292,8,-73,937.6271516440637,1
183,183,2015-03-11 18:37:00,2015-03-11 18:57:00,M1.0,POINT(-288.0192 -153.6792),"POLYGON((-294.987 -162.3378,-279.5628 -161.7108,-280.9686 -145.0152,-296.4708 -145.6452,-294.987 -162.3378))",POINT(0.338178311651366 118.083166165896),"POLYGON((0.348798 118.824951,0.334563 120.046881,0.32754 117.299435,0.342177 116.163189,0.348798 118.824951))",POINT(-164.9925 -16),"POLYGON((-165.4925 -16.5,-164.4925 -16.5,-164.4925 -15.5,-165.4925 -15.5,-165.4925 -16.5))",UTC-HGS-TOPO,POINT(-18 -16),"POLYGON((-18.5 -16.5,-17.5 -16.5,-17.5 -15.5,-18.5 -15.5,-18.5 -16.5))",2015-03-11 18:51:00,True,,12297,-17.5,-15.5,-18.5,-16.5,-153.6792,-288.0192,-16,-18,326.45421743527834,1
206,206,2015-03-17 22:49:00,2015-03-17 23:48:00,M1.0,POINT(747.822 -281.1168),"POLYGON((740.898 -288.3312,749.622 -289.9242,754.668 -273.8916,745.884 -272.2866,740.898 -288.3312))",POINT(0.829030832000914 249.398053879161),"POLYGON((0.824995 248.735779,0.834033 248.855497,0.833097 250.05265,0.823962 249.945278,0.824995 248.735779))",POINT(-172.37766 -21),"POLYGON((-172.87766 -21.5,-171.87766 -21.5,-171.87766 -20.5,-172.87766 -20.5,-172.87766 -21.5))",UTC-HGS-TOPO,POINT(56 -21),"POLYGON((55.5 -21.5,56.5 -21.5,56.5 -20.5,55.5 -20.5,55.5 -21.5))",2015-03-17 23:34:00,True,,12297,56.5,-20.5,55.5,-21.5,-281.1168,747.822,-21,56,798.9145129025006,1
494,494,2015-07-06 08:24:00,2015-07-06 08:59:00,M1.0,POINT(-605.586 236.3676),"POLYGON((-613.026 228.6792,-601.29 228.063,-598.0806 244.0428,-609.756 244.6542,-613.026 228.6792))",POINT(0.689202660629664 68.6786921411132),"POLYGON((0.693666 69.542802,0.68179 69.228788,0.684829 67.802412,0.696546 68.137717,0.693666 69.542802))",POINT(70.3502 17),"POLYGON((69.8502 16.5,70.8502 16.5,70.8502 17.5,69.8502 17.5,69.8502 16.5))",UTC-HGS-TOPO,POINT(-42 17),"POLYGON((-42.5 16.5,-41.5 16.5,-41.5 17.5,-42.5 17.5,-42.5 16.5))",2015-07-06 08:44:00,True,,12381,-41.5,17.5,-42.5,16.5,236.3676,-605.586,17,-42,650.0800302468613,1
687,687,2015-09-27 20:54:00,2015-09-27 21:15:00,M1.0,POINT(247.1946 -444.9798),"POLYGON((238.8486 -452.6364,253.8378 -452.112,255.5538 -437.2788,240.4632 -437.8062,238.8486 -452.6364))",POINT(0.531996887320484 209.05299043871),"POLYGON((0.53488 207.819856,0.54189 209.311986,0.52933 210.302803,0.522033 208.777605,0.53488 207.819856))",POINT(104.436352 -21),"POLYGON((103.936352 -21.5,104.936352 -21.5,104.936352 -20.5,103.936352 -20.5,103.936352 -21.5))",UTC-HGS-TOPO,POINT(16 -21),"POLYGON((15.5 -21.5,16.5 -21.5,16.5 -20.5,15.5 -20.5,15.5 -21.5))",2015-09-27 21:00:00,True,,12422,16.5,-20.5,15.5,-21.5,-444.9798,247.1946,-21,16,509.030640214516,1
724,724,2015-10-02 17:08:00,2015-10-02 17:23:00,M1.0,POINT(879.804 -335.553),"POLYGON((875.208 -344.22,878.964 -342.4188,884.274 -326.8536,880.5 -328.6644,875.208 -344.22))",POINT(0.982759986575846 249.12339026259),"POLYGON((0.981554 248.530246,0.984519 248.715559,0.983936 249.714209,0.980901 249.530896,0.981554 248.530246))",POINT(100.526653 -19),"POLYGON((100.026653 -19.5,101.026653 -19.5,101.026653 -18.5,100.026653 -18.5,100.026653 -19.5))",UTC-HGS-TOPO,POINT(76 -19),"POLYGON((75.5 -19.5,76.5 -19.5,76.5 -18.5,75.5 -18.5,75.5 -19.5))",2015-10-02 17:18:00,True,,12422,76.5,-18.5,75.5,-19.5,-335.553,879.804,-19,76,941.621417675384,1
767,767,2015-10-31 17:48:00,2015-10-31 17:55:00,M1.0,POINT(-748.812 53.8512),"POLYGON((-754.716 45.93132,-744.168 44.91786,-742.806 61.7718,-753.33 62.7822,-754.716 45.93132))",POINT(0.777187797415123 85.8866260417008),"POLYGON((0.782743 86.517327,0.77178 86.545827,0.771623 85.246217,0.782567 85.236003,0.782743 86.517327))",POINT(-49.3667679 6),"POLYGON((-49.866768 5.5,-48.866768 5.5,-48.866768 6.5,-49.866768 6.5,-49.866768 5.5))",UTC-HGS-TOPO,POINT(-51 6),"POLYGON((-51.5 5.5,-50.5 5.5,-50.5 6.5,-51.5 6.5,-51.5 5.5))",2015-10-31 17:52:00,True,,12443,-50.5,6.5,-51.5,5.5,53.8512,-748.812,6,-51,750.7458711744208,1
48,48,2016-02-14 19:18:00,2016-02-14 19:29:00,M1.0,POINT(688.02426 326.169996),"POLYGON((683.9967 318.904656,695.18028 317.463072,691.92036 333.40734,680.78898 334.84308,683.9967 318.904656))",POINT(0.784100264349452 295.364113396073),"POLYGON((0.777164 294.996681,0.786999 294.544423,0.790934 295.727463,0.781275 296.190064,0.777164 294.996681))",POINT(91.36812 15),"POLYGON((90.86812 14.5,91.86812 14.5,91.86812 15.5,90.86812 15.5,90.86812 14.5))",UTC-HGS-TOPO,POINT(47 15),"POLYGON((46.5 14.5,47.5 14.5,47.5 15.5,46.5 15.5,46.5 14.5))",2016-02-14 19:26:00,True,,12497,47.5,15.5,46.5,14.5,326.169996,688.02426,15,47,761.4225165039367,1
296,296,2016-11-29 17:19:00,2016-11-29 17:26:00,M1.0,POINT(-792.64416 -128.62587),"POLYGON((-796.54278 -136.925406,-786.91992 -137.179398,-788.6139 -120.31539,-798.25728 -120.061986,-796.54278 -136.925406))",POINT(0.825891298578598 99.2172934331173),"POLYGON((0.831253 99.753795,0.821546 99.888686,0.820467 98.674477,0.830235 98.553465,0.831253 99.753795))",POINT(133.85249 -7),"POLYGON((133.35249 -7.5,134.35249 -7.5,134.35249 -6.5,133.35249 -6.5,133.35249 -7.5))",UTC-HGS-TOPO,POINT(-55 -7),"POLYGON((-55.5 -7.5,-54.5 -7.5,-54.5 -6.5,-55.5 -6.5,-55.5 -7.5))",2016-11-29 17:23:00,True,,12615,-54.5,-6.5,-55.5,-7.5,-128.62587,-792.64416,-7,-55,803.0126890749377,1
19,19,2012-01-17 04:41:00,2012-01-17 05:07:00,M1.0,POINT(-751.938 345.777),"POLYGON((-758.778 337.2588,-749.262 338.3598,-745.008 354.2628,-754.47 353.1672,-758.778 337.2588))",POINT(0.849010080276208 65.3047698312632),"POLYGON((0.851804 66.035989,0.843357 65.696504,0.846258 64.568191,0.854557 64.915719,0.851804 66.035989))",POINT(-149.51514 18),"POLYGON((-150.01514 17.5,-149.01514 17.5,-149.01514 18.5,-150.01514 18.5,-150.01514 17.5))",UTC-HGS-TOPO,POINT(-54 18),"POLYGON((-54.5 17.5,-53.5 17.5,-53.5 18.5,-54.5 18.5,-54.5 17.5))",2012-01-17 04:53:00,True,,11401,-53.5,18.5,-54.5,17.5,345.777,-751.938,18,-54,827.6306480387251,1
36,36,2012-02-06 19:31:00,2012-02-06 20:17:00,M1.0,POINT(797.964 366.3966),"POLYGON((796.302 359.3334,804.318 357.7602,799.476 373.4316,791.514 374.9964,796.302 359.3334))",POINT(0.902884857178349 294.662899077098),"POLYGON((0.89832 294.287403,0.905181 293.979472,0.907336 295.037064,0.900612 295.350238,0.89832 294.287403))",POINT(53.01635 19),"POLYGON((52.51635 18.5,53.51635 18.5,53.51635 19.5,52.51635 19.5,52.51635 18.5))",UTC-HGS-TOPO,POINT(60 19),"POLYGON((59.5 18.5,60.5 18.5,60.5 19.5,59.5 19.5,59.5 18.5))",2012-02-06 20:00:00,True,,11410,60.5,19.5,59.5,18.5,366.3966,797.964,19,60,878.0620785500076,1
74,74,2012-03-06 04:01:00,2012-03-06 04:08:00,M1.0,POINT(-586.6704 356.6046),"POLYGON((-594.4248 348.0948,-581.7786 349.4076,-578.8578 365.0772,-591.4416 363.7704,-594.4248 348.0948))",POINT(0.71028429772544 58.7068880121437),"POLYGON((0.712663 59.646786,0.702102 59.011597,0.708027 57.760966,0.718363 58.406107,0.712663 59.646786))",POINT(-59.40386 16),"POLYGON((-59.90386 15.5,-58.90386 15.5,-58.90386 16.5,-59.90386 16.5,-59.90386 15.5))",UTC-HGS-TOPO,POINT(-39 16),"POLYGON((-39.5 15.5,-38.5 15.5,-38.5 16.5,-39.5 16.5,-39.5 15.5))",2012-03-06 04:05:00,True,,11429,-38.5,16.5,-39.5,15.5,356.6046,-586.6704,16,-39,686.5486137028607,1
152,152,2012-04-27 08:15:00,2012-04-27 08:29:00,M1.0,POINT(469.374 245.7264),"POLYGON((463.0416 237.9852,477.2358 237.3318,475.6104 253.4448,461.4642 254.0964,463.0416 237.9852))",POINT(0.556146344097764 297.632930376632),"POLYGON((0.546504 297.201384,0.559492 296.441393,0.565719 298.052405,0.552988 298.838535,0.546504 297.201384))",POINT(41.214185 11),"POLYGON((40.714185 10.5,41.714185 10.5,41.714185 11.5,40.714185 11.5,40.714185 10.5))",UTC-HGS-TOPO,POINT(30 11),"POLYGON((29.5 10.5,30.5 10.5,30.5 11.5,29.5 11.5,29.5 10.5))",2012-04-27 08:24:00,True,,11466,30.5,11.5,29.5,10.5,245.7264,469.374,11,30,529.8050731476247,1
355,355,2012-06-30 12:48:00,2012-06-30 12:54:00,M1.0,POINT(-324.6168 234.5742),"POLYGON((-332.8554 226.6998,-318.066 226.4238,-316.3674 242.4342,-331.0776 242.7084,-332.8554 226.6998))",POINT(0.424585069747094 54.1474170736132),"POLYGON((0.42694 55.742165,0.413906 54.553819,0.422544 52.536842,0.435198 53.755373,0.42694 55.742165))",POINT(-139.01738 17),"POLYGON((-139.51738 16.5,-138.51738 16.5,-138.51738 17.5,-139.51738 17.5,-139.51738 16.5))",UTC-HGS-TOPO,POINT(-21 17),"POLYGON((-21.5 16.5,-20.5 16.5,-20.5 17.5,-21.5 17.5,-21.5 16.5))",2012-06-30 12:52:00,True,,11513,-20.5,17.5,-21.5,16.5,234.5742,-324.6168,17,-21,400.5010888223401,1
