,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
250,250,2010-05-31 18:30:00,2010-05-31 22:45:00,A7.1,POINT(-97.206 209.2704),"POLYGON((16.59216 28.53528,16.59216 28.53528,16.59216 28.53528,16.59216 28.53528,16.59216 28.53528))",POINT(0.24379078414953 24.9148456915256),"POLYGON((0.034875 329.823657,0.034875 329.823657,0.034875 329.823657,0.034875 329.823657,0.034875 329.823657))",POINT(-161.74782 12),"POLYGON((-154.74782 1,-154.74782 1,-154.74782 1,-154.74782 1,-154.74782 1))",UTC-HGS-TOPO,POINT(-6 12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-05-31 20:47:00,True,,1073,-5.0,13.0,-7.0,11.0,209.2704,-97.206,12.0,-6.0,230.74467870822073,0.0
295,295,2010-06-16 01:25:00,2010-06-16 04:00:00,A6.9,POINT(855.46494 -399.188244),"POLYGON((16.5486 -1.99315,16.5486 -1.99315,16.5486 -1.99315,16.5486 -1.99315,16.5486 -1.99315))",POINT(1.00000810600869 244.984686544698),"POLYGON((0.017657 263.13225,0.017657 263.13225,0.017657 263.13225,0.017657 263.13225,0.017657 263.13225))",POINT(90.907811 -25),"POLYGON((2.907811 1,2.907811 1,2.907811 1,2.907811 1,2.907811 1))",UTC-HGS-TOPO,POINT(89 -25),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-06-16 03:45:00,True,,1079,90.0,-24.0,88.0,-26.0,-399.188244,855.46494,-25.0,89.0,944.018812162664,0.0
305,305,2010-06-24 15:02:00,2010-06-24 15:56:00,A8.6,POINT(649.11 424.3086),"POLYGON((16.53948 -18.61296,16.53948 -18.61296,16.53948 -18.61296,16.53948 -18.61296,16.53948 -18.61296))",POINT(0.821931846237576 303.171741796915),"POLYGON((0.026391 221.624298,0.026391 221.624298,0.026391 221.624298,0.026391 221.624298,0.026391 221.624298))",POINT(-60.49722 28),"POLYGON((-110.49722 1,-110.49722 1,-110.49722 1,-110.49722 1,-110.49722 1))",UTC-HGS-TOPO,POINT(51 28),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-06-24 15:22:00,True,,1082,52.0,29.0,50.0,27.0,424.3086,649.11,28.0,51.0,775.4879625977183,0.0
308,308,2010-07-02 18:15:00,2010-07-03 02:45:00,A6.4,POINT(734.25528 -422.275488),"POLYGON((16.534981 -33.715864,16.534981 -33.715864,16.534981 -33.715864,16.534981 -33.715864,16.534981 -33.715864))",POINT(0.897992224001634 240.096483014496),"POLYGON((0.039812 206.12432,0.039812 206.12432,0.039812 206.12432,0.039812 206.12432,0.039812 206.12432))",POINT(-160.16328 -25),"POLYGON((141.83672 1,141.83672 1,141.83672 1,141.83672 1,141.83672 1))",UTC-HGS-TOPO,POINT(59 -25),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2010-07-02 21:47:00,True,,1085,60.0,-24.0,58.0,-26.0,-422.275488,734.25528,-25.0,59.0,847.0226702831021,0.0
3,3,2017-01-06 07:51:00,2017-01-06 09:30:00,A7.1,POINT(965.7159 -134.400942),"POLYGON((17.098293 79.228428,17.098293 79.228428,17.098293 79.228428,17.098293 79.228428,17.098293 79.228428))",POINT(0.999783450503635 262.07690468928),"POLYGON((0.083111 347.821764,0.083111 347.821764,0.083111 347.821764,0.083111 347.821764,0.083111 347.821764))",POINT(142.433818 -8),"POLYGON((54.433818 1,54.433818 1,54.433818 1,54.433818 1,54.433818 1))",UTC-HGS-TOPO,POINT(89 -8),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2017-01-06 08:03:00,True,,2624,90.0,-7.0,88.0,-9.0,-134.400942,965.7159,-8.0,89.0,975.0234934212083,0.0
578,578,2017-08-13 12:31:00,2017-08-13 13:07:00,A6.4,POINT(936.62916 -109.592136),"POLYGON((16.593461 -92.192592,16.593461 -92.192592,16.593461 -92.192592,16.593461 -92.192592,16.593461 -92.192592))",POINT(0.996239010161258 263.326339831262),"POLYGON((0.098961 190.203248,0.098961 190.203248,0.098961 190.203248,0.098961 190.203248,0.098961 190.203248))",POINT(123.075358 -6),"POLYGON((40.075358 1,40.075358 1,40.075358 1,40.075358 1,40.075358 1))",UTC-HGS-TOPO,POINT(84 -6),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2017-08-13 12:51:00,True,,2670,85.0,-5.0,83.0,-7.0,-109.592136,936.62916,-6.0,84.0,943.0188861498734,0.0
912,912,2017-11-28 06:51:00,2017-11-28 07:25:00,A8.2,POINT(582.790254 219.972),"POLYGON((17.042357 -3.888507,17.042357 -3.888507,17.042357 -3.888507,17.042357 -3.888507,17.042357 -3.888507))",POINT(0.640837291829804 290.678826462648),"POLYGON((0.017983 257.147012,0.017983 257.147012,0.017983 257.147012,0.017983 257.147012,0.017983 257.147012))",POINT(108.216769 14),"POLYGON((71.216769 1,71.216769 1,71.216769 1,71.216769 1,71.216769 1))",UTC-HGS-TOPO,POINT(38 14),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2017-11-28 07:01:00,True,,2689,39.0,15.0,37.0,13.0,219.972,582.790254,14.0,38.0,622.9222752008347,0.0
0,0,2018-01-07 04:24:00,2018-01-07 04:38:00,A7.6,POINT(819.79824 375.231996),"POLYGON((17.098015 80.35938,17.098015 80.35938,17.098015 80.35938,17.098015 80.35938,17.098015 80.35938))",POINT(0.924501794585132 294.594167369817),"POLYGON((0.084246 347.988334,0.084246 347.988334,0.084246 347.988334,0.084246 347.988334,0.084246 347.988334))",POINT(-31.40764 21),"POLYGON((-94.40764 1,-94.40764 1,-94.40764 1,-94.40764 1,-94.40764 1))",UTC-HGS-TOPO,POINT(64 21),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-01-07 04:33:00,True,,2693,65.0,22.0,63.0,20.0,375.231996,819.79824,21.0,64.0,901.5920391891455,0.0
8,8,2018-01-20 17:42:00,2018-01-20 17:58:00,A9.1,POINT(589.029738 -135.748212),"POLYGON((17.084798 103.761948,17.084798 103.761948,17.084798 103.761948,17.084798 103.761948,17.084798 103.761948))",POINT(0.620300079416868 257.022167468262),"POLYGON((0.107913 350.649926,0.107913 350.649926,0.107913 350.649926,0.107913 350.649926,0.107913 350.649926))",POINT(124.11286 -12),"POLYGON((87.11286 1,87.11286 1,87.11286 1,87.11286 1,87.11286 1))",UTC-HGS-TOPO,POINT(38 -12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-01-20 17:52:00,True,,2696,39.0,-11.0,37.0,-13.0,-135.748212,589.029738,-12.0,38.0,604.4696926311075,0.0
9,9,2018-01-20 17:50:00,2018-01-20 18:00:00,A9.1,POINT(589.029474 -135.741306),"POLYGON((17.08479 103.770564,17.08479 103.770564,17.08479 103.770564,17.08479 103.770564,17.08479 103.770564))",POINT(0.620298510380254 257.022799728094),"POLYGON((0.107922 350.650694,0.107922 350.650694,0.107922 350.650694,0.107922 350.650694,0.107922 350.650694))",POINT(124.03971 -12),"POLYGON((87.03971 1,87.03971 1,87.03971 1,87.03971 1,87.03971 1))",UTC-HGS-TOPO,POINT(38 -12),"POLYGON((1 1,1 1,1 1,1 1,1 1))",2018-01-20 17:53:00,True,,2696,39.0,-11.0,37.0,-13.0,-135.741306,589.029474,-12.0,38.0,604.4678845028099,0.0
